Seconds.milliseconds since 1970,leftIrisX,leftIrisY,leftEyeHeadX,leftEyeHeadY,leftEyeBottomX,leftEyeBottomY,rightIrisX,rightIrisY,rightEyeHeadX,rightEyeHeadY,rightEyeBottomX,rightEyeBottomY
1372732427.74926, 230.833344, 326.916656, 207.333344, 329.416656, 249.333344, 329.416656, 121.833336, 327.916656, 144.333344, 333.416656, 99.333336, 335.416656
1372732427.78898, 230.666672, 326.333344, 209.166672, 331.833344, 259.166687, 340.833344, 121.666672, 326.333344, 144.166672, 331.833344, 106.166672, 328.833344
1372732427.82234, 230.250000, 326.125000, 209.250000, 332.125000, 254.250000, 320.125000, 121.250000, 326.125000, 144.250000, 333.125000, 106.250000, 329.125000
1372732427.85758, 230.833344, 325.916656, 209.333344, 332.416656, 241.333344, 325.416656, 121.833336, 326.916656, 144.333344, 333.416656, 106.333336, 329.416656
1372732427.89906, 230.250000, 325.125000, 209.250000, 332.125000, 249.250000, 329.125000, 121.250000, 326.125000, 144.250000, 332.125000, 99.250000, 334.125000
1372732427.93326, 230.833344, 325.916656, 209.333344, 332.416656, 259.333344, 338.416656, 122.833336, 326.916656, 144.333344, 332.416656, 106.333336, 329.416656
1372732427.96758, 230.250000, 325.125000, 210.250000, 332.125000, 249.250000, 329.125000, 121.250000, 326.125000, 144.250000, 333.125000, 98.250000, 335.125000
1372732428.01222, 231.666672, 325.333344, 208.166672, 328.833344, 242.166672, 324.833344, 122.666672, 326.333344, 144.166672, 331.833344, 107.166672, 328.833344
1372732428.04623, 231.666672, 326.333344, 210.166672, 331.833344, 251.166672, 328.833344, 122.666672, 326.333344, 144.166672, 331.833344, 107.166672, 328.833344
1372732428.08155, 230.250000, 326.125000, 208.250000, 329.125000, 250.250000, 329.125000, 122.250000, 326.125000, 144.250000, 332.125000, 107.250000, 329.125000
1372732428.12422, 230.833344, 325.916656, 210.333344, 332.416656, 242.333344, 326.416656, 122.833336, 326.916656, 145.333344, 333.416656, 107.333336, 329.416656
1372732428.15932, 231.666672, 326.333344, 210.166672, 331.833344, 242.166672, 324.833344, 122.666672, 326.333344, 144.166672, 331.833344, 106.166672, 329.833344
1372732428.19560, 230.666672, 325.333344, 210.166672, 331.833344, 251.166672, 329.833344, 122.666672, 326.333344, 144.166672, 331.833344, 100.166672, 333.833344
1372732428.23802, 230.833344, 325.916656, 209.333344, 332.416656, 250.333344, 330.416656, 122.833336, 326.916656, 144.333344, 332.416656, 106.333336, 329.416656
1372732428.27155, 230.833344, 325.916656, 210.333344, 332.416656, 250.333344, 329.416656, 121.833336, 326.916656, 144.333344, 333.416656, 100.333336, 334.416656
1372732428.30710, 230.833344, 325.916656, 210.333344, 332.416656, 250.333344, 329.416656, 122.833336, 326.916656, 144.333344, 333.416656, 99.333336, 335.416656
1372732428.34707, 230.833344, 325.916656, 209.333344, 332.416656, 258.333344, 341.416656, 122.833336, 326.916656, 144.333344, 333.416656, 99.333336, 335.416656
1372732428.38132, 230.666672, 326.333344, 209.166672, 331.833344, 258.166687, 340.833344, 122.666672, 326.333344, 144.166672, 332.833344, 99.166672, 333.833344
1372732428.41608, 230.000000, 326.500000, 209.000000, 332.000000, 242.000000, 326.000000, 122.000000, 326.500000, 144.000000, 333.000000, 106.000000, 329.000000
1372732428.45444, 230.833344, 326.916656, 209.333344, 332.416656, 250.333344, 330.416656, 122.833336, 326.916656, 144.333344, 333.416656, 99.333336, 334.416656
1372732428.48771, 230.416672, 326.708344, 209.416672, 331.708344, 258.416687, 324.708344, 122.416672, 326.708344, 144.416672, 332.708344, 98.416672, 334.708344
1372732428.52257, 230.833344, 326.916656, 209.333344, 332.416656, 249.333344, 329.416656, 121.833336, 326.916656, 143.333344, 332.416656, 99.333336, 334.416656
1372732428.56068, 230.833344, 326.916656, 209.333344, 332.416656, 249.333344, 329.416656, 122.833336, 326.916656, 144.333344, 333.416656, 99.333336, 334.416656
1372732428.59381, 230.000000, 326.500000, 207.000000, 329.000000, 249.000000, 329.000000, 122.000000, 326.500000, 143.000000, 333.000000, 106.000000, 329.000000
1372732428.62870, 230.666672, 326.333344, 209.166672, 331.833344, 258.166687, 323.833344, 122.666672, 326.333344, 144.166672, 332.833344, 99.166672, 334.833344
1372732428.66854, 231.833344, 326.916656, 209.333344, 332.416656, 256.333344, 323.416656, 122.833336, 326.916656, 144.333344, 332.416656, 99.333336, 334.416656
