Seconds.milliseconds since 1970,leftIrisX,leftIrisY,leftEyeHeadX,leftEyeHeadY,leftEyeBottomX,leftEyeBottomY,rightIrisX,rightIrisY,rightEyeHeadX,rightEyeHeadY,rightEyeBottomX,rightEyeBottomY
1372732480.67043, 220.500000, 333.750000, 202.000000, 339.250000, 250.000000, 341.250000, 115.500000, 333.750000, 137.000000, 339.250000, 99.000000, 336.250000
1372732480.71497, 221.916672, 333.958344, 199.416672, 337.958344, 253.416672, 339.958344, 115.916672, 333.958344, 137.416672, 338.958344, 92.416672, 340.958344
1372732480.75193, 220.333344, 333.166656, 202.333344, 339.166656, 251.333344, 337.166656, 115.333336, 333.166656, 137.333344, 339.166656, 93.333336, 341.166656
1372732480.78903, 220.333344, 333.166656, 202.333344, 339.166656, 251.333344, 338.166656, 114.333336, 333.166656, 137.333344, 339.166656, 100.333336, 336.166656
1372732480.82673, 220.500000, 333.750000, 201.000000, 339.250000, 251.000000, 342.250000, 115.500000, 333.750000, 137.000000, 339.250000, 100.000000, 335.250000
1372732480.86518, 220.916672, 333.958344, 201.416672, 338.958344, 251.416672, 341.958344, 114.916672, 333.958344, 137.416672, 338.958344, 93.416672, 339.958344
1372732480.90332, 220.333344, 333.166656, 202.333344, 339.166656, 251.333344, 342.166656, 115.333336, 333.166656, 137.333344, 339.166656, 93.333336, 341.166656
1372732480.93865, 221.750000, 333.375000, 202.250000, 339.375000, 252.250000, 339.375000, 115.750000, 333.375000, 137.250000, 339.375000, 99.250000, 336.375000
1372732480.97388, 220.750000, 333.375000, 202.250000, 339.375000, 250.250000, 341.375000, 115.750000, 333.375000, 137.250000, 339.375000, 99.250000, 336.375000
1372732481.00726, 221.333344, 333.166656, 202.333344, 339.166656, 251.333344, 342.166656, 115.333336, 333.166656, 137.333344, 339.166656, 100.333336, 336.166656
1372732481.04501, 221.916672, 333.958344, 202.416672, 338.958344, 251.416672, 341.958344, 115.916672, 333.958344, 138.416672, 338.958344, 100.416672, 334.958344
1372732481.08141, 221.333344, 333.166656, 202.333344, 339.166656, 251.333344, 341.166656, 115.333336, 333.166656, 138.333344, 339.166656, 100.333336, 335.166656
1372732481.11711, 221.333344, 333.166656, 202.333344, 340.166656, 252.333344, 338.166656, 115.333336, 333.166656, 138.333344, 339.166656, 100.333336, 336.166656
1372732481.15297, 221.500000, 333.750000, 202.000000, 339.250000, 251.000000, 341.250000, 115.500000, 333.750000, 138.000000, 339.250000, 100.000000, 335.250000
1372732481.18810, 221.500000, 333.750000, 202.000000, 339.250000, 251.000000, 341.250000, 115.500000, 333.750000, 138.000000, 339.250000, 100.000000, 335.250000
1372732481.22298, 221.916672, 333.958344, 202.416672, 339.958344, 251.416672, 340.958344, 116.916672, 333.958344, 138.416672, 338.958344, 100.416672, 334.958344
1372732481.25793, 221.333344, 333.166656, 202.333344, 339.166656, 251.333344, 341.166656, 115.333336, 333.166656, 138.333344, 339.166656, 100.333336, 335.166656
1372732481.29584, 221.750000, 333.375000, 202.250000, 339.375000, 251.250000, 341.375000, 115.750000, 333.375000, 138.250000, 339.375000, 100.250000, 335.375000
1372732481.33207, 221.916672, 333.958344, 202.416672, 338.958344, 251.416672, 340.958344, 115.916672, 333.958344, 138.416672, 338.958344, 100.416672, 334.958344
1372732481.36900, 221.333344, 333.166656, 202.333344, 339.166656, 251.333344, 341.166656, 115.333336, 333.166656, 137.333344, 339.166656, 100.333336, 335.166656
1372732481.40627, 221.333344, 333.166656, 202.333344, 339.166656, 251.333344, 341.166656, 115.333336, 333.166656, 137.333344, 339.166656, 100.333336, 335.166656
1372732481.44269, 221.333344, 333.166656, 202.333344, 339.166656, 252.333344, 336.166656, 115.333336, 333.166656, 138.333344, 339.166656, 100.333336, 335.166656
1372732481.48198, 221.916672, 333.958344, 202.416672, 339.958344, 251.416672, 340.958344, 115.916672, 333.958344, 138.416672, 338.958344, 100.416672, 334.958344
1372732481.51871, 221.333344, 333.166656, 202.333344, 339.166656, 252.333344, 336.166656, 115.333336, 333.166656, 138.333344, 339.166656, 100.333336, 335.166656
1372732481.55562, 221.333344, 333.166656, 202.333344, 339.166656, 251.333344, 341.166656, 115.333336, 333.166656, 138.333344, 339.166656, 100.333336, 335.166656
1372732481.59245, 221.333344, 334.166656, 202.333344, 339.166656, 251.333344, 341.166656, 115.333336, 333.166656, 138.333344, 339.166656, 100.333336, 335.166656
1372732481.62979, 221.333344, 334.166656, 202.333344, 339.166656, 252.333344, 337.166656, 115.333336, 333.166656, 138.333344, 339.166656, 103.333336, 333.166656
1372732481.66661, 221.750000, 334.375000, 202.250000, 339.375000, 251.250000, 336.375000, 115.750000, 333.375000, 138.250000, 339.375000, 100.250000, 335.375000
1372732481.70170, 221.333344, 334.166656, 202.333344, 339.166656, 251.333344, 342.166656, 115.333336, 334.166656, 137.333344, 339.166656, 100.333336, 335.166656
1372732481.73750, 221.333344, 334.166656, 202.333344, 339.166656, 250.333344, 341.166656, 115.333336, 334.166656, 137.333344, 339.166656, 102.333336, 334.166656
1372732481.77265, 221.333344, 334.166656, 202.333344, 339.166656, 251.333344, 338.166656, 115.333336, 334.166656, 137.333344, 339.166656, 100.333336, 335.166656
1372732481.80786, 221.916672, 334.958344, 202.416672, 338.958344, 250.416672, 340.958344, 115.916672, 334.958344, 137.416672, 339.958344, 93.416672, 339.958344
1372732481.84125, 221.500000, 334.750000, 202.000000, 339.250000, 250.000000, 341.250000, 115.500000, 334.750000, 137.000000, 339.250000, 100.000000, 335.250000
1372732481.87852, 221.083344, 334.541656, 202.083344, 339.041656, 253.083344, 340.041656, 115.083336, 334.541656, 138.083344, 340.041656, 93.083336, 340.041656
1372732481.91358, 221.333344, 335.166656, 202.333344, 339.166656, 250.333344, 341.166656, 116.333336, 334.166656, 138.333344, 339.166656, 93.333336, 340.166656
1372732481.94840, 221.333344, 335.166656, 202.333344, 339.166656, 250.333344, 341.166656, 116.333336, 334.166656, 138.333344, 339.166656, 103.333336, 334.166656
1372732481.98349, 221.333344, 335.166656, 202.333344, 339.166656, 251.333344, 338.166656, 115.333336, 334.166656, 138.333344, 339.166656, 101.333336, 335.166656
1372732482.01853, 222.750000, 335.375000, 203.250000, 339.375000, 252.250000, 342.375000, 116.750000, 335.375000, 138.250000, 339.375000, 101.250000, 335.375000
1372732482.05667, 222.333344, 335.166656, 203.333344, 339.166656, 251.333344, 341.166656, 116.333336, 335.166656, 138.333344, 339.166656, 101.333336, 335.166656
1372732482.09792, 222.333344, 335.166656, 202.333344, 339.166656, 252.333344, 342.166656, 116.333336, 336.166656, 139.333344, 339.166656, 102.333336, 335.166656
1372732482.13126, 222.333344, 336.166656, 202.333344, 339.166656, 251.333344, 342.166656, 116.333336, 336.166656, 139.333344, 339.166656, 102.333336, 334.166656
1372732482.16618, 222.916672, 336.958344, 202.416672, 339.958344, 251.416672, 341.958344, 116.916672, 336.958344, 139.416672, 338.958344, 102.416672, 334.958344
1372732482.20582, 222.916672, 336.958344, 202.416672, 339.958344, 254.416672, 345.958344, 116.916672, 336.958344, 138.416672, 338.958344, 102.416672, 334.958344
1372732482.23919, 222.916672, 337.958344, 202.416672, 339.958344, 254.416672, 339.958344, 116.916672, 336.958344, 139.416672, 338.958344, 102.416672, 334.958344
1372732482.27448, 221.333344, 337.166656, 202.333344, 339.166656, 250.333344, 342.166656, 116.333336, 337.166656, 139.333344, 339.166656, 102.333336, 335.166656
1372732482.31248, 222.500000, 337.750000, 202.000000, 340.250000, 251.000000, 342.250000, 116.500000, 337.750000, 138.000000, 339.250000, 102.000000, 335.250000
