Seconds.milliseconds since 1970,leftIrisX,leftIrisY,leftEyeHeadX,leftEyeHeadY,leftEyeBottomX,leftEyeBottomY,rightIrisX,rightIrisY,rightEyeHeadX,rightEyeHeadY,rightEyeBottomX,rightEyeBottomY
1372737177.76005, 264.833344, 367.416656, 277.333344, 366.416656, 282.333344, 363.416656, 137.833344, 364.416656, 163.333344, 374.416656, 118.333344, 367.416656
1372737177.79615, 264.833344, 367.416656, 277.333344, 366.416656, 282.333344, 364.416656, 137.833344, 364.416656, 163.333344, 374.416656, 118.333344, 367.416656
1372737177.83304, 264.000000, 373.500000, 277.000000, 366.000000, 282.000000, 364.000000, 137.000000, 375.500000, 164.000000, 375.000000, 119.000000, 368.000000
1372737177.86835, 266.000000, 367.000000, 277.000000, 366.000000, 299.000000, 372.000000, 137.000000, 364.000000, 164.000000, 375.000000, 118.000000, 368.000000
1372737177.90217, 264.166656, 368.583344, 277.166656, 365.583344, 300.166656, 372.583344, 137.166672, 364.583344, 163.166672, 374.583344, 119.166672, 367.583344
1372737177.93662, 264.166656, 371.083344, 277.166656, 365.583344, 283.166656, 363.583344, 136.166672, 373.083344, 164.166672, 374.583344, 118.166672, 367.583344
1372737177.97486, 265.666656, 368.833344, 278.166656, 365.833344, 283.166656, 363.833344, 137.666672, 364.833344, 164.166672, 375.833344, 118.166672, 366.833344
1372737178.00810, 266.500000, 368.250000, 278.000000, 367.250000, 283.000000, 364.250000, 137.500000, 364.250000, 164.000000, 375.250000, 118.000000, 368.250000
1372737178.04264, 264.833344, 368.416656, 274.333344, 360.416656, 300.333344, 374.416656, 138.833344, 364.416656, 164.333344, 375.416656, 119.333344, 369.416656
1372737178.08428, 266.833344, 368.416656, 277.333344, 369.416656, 282.333344, 366.416656, 137.833344, 365.416656, 164.333344, 375.416656, 119.333344, 368.416656
1372737178.11782, 266.666656, 368.833344, 282.166656, 365.833344, 300.166656, 373.833344, 138.666672, 365.833344, 163.166672, 372.833344, 118.166672, 367.833344
1372737178.15294, 266.666656, 368.833344, 278.166656, 366.833344, 278.166656, 366.833344, 137.666672, 365.833344, 163.166672, 372.833344, 118.166672, 368.833344
1372737178.19614, 266.666656, 368.833344, 278.166656, 366.833344, 278.166656, 366.833344, 138.666672, 365.833344, 164.166672, 375.833344, 119.166672, 368.833344
1372737178.23078, 265.250000, 379.125000, 278.250000, 367.125000, 278.250000, 367.125000, 138.250000, 382.125000, 164.250000, 377.125000, 119.250000, 369.125000
1372737178.26577, 266.666656, 368.833344, 278.166656, 366.833344, 278.166656, 366.833344, 138.666672, 365.833344, 164.166672, 376.833344, 119.166672, 369.833344
1372737178.30837, 266.666656, 368.833344, 278.166656, 366.833344, 278.166656, 366.833344, 138.666672, 367.833344, 164.166672, 375.833344, 119.166672, 367.833344
1372737178.34173, 266.833344, 368.416656, 278.333344, 367.416656, 278.333344, 367.416656, 138.833344, 365.416656, 164.333344, 375.416656, 119.333344, 369.416656
1372737178.37672, 266.166656, 368.583344, 278.166656, 366.583344, 278.166656, 366.583344, 139.166672, 365.583344, 164.166672, 374.583344, 119.166672, 368.583344
1372737178.42066, 265.000000, 368.000000, 279.000000, 367.000000, 279.000000, 367.000000, 139.000000, 365.000000, 164.000000, 375.000000, 119.000000, 369.000000
1372737178.45701, 266.416656, 368.208344, 279.416656, 366.708344, 279.416656, 366.708344, 139.416672, 365.208344, 165.416672, 375.708344, 120.416672, 368.708344
1372737178.48953, 267.666656, 368.833344, 279.166656, 366.833344, 279.166656, 366.833344, 140.666672, 365.833344, 165.166672, 374.833344, 120.166672, 367.833344
1372737178.52339, 268.666656, 368.833344, 280.166656, 366.833344, 280.166656, 366.833344, 140.666672, 365.833344, 166.166672, 376.833344, 120.166672, 368.833344
1372737178.56334, 268.666656, 368.833344, 280.166656, 366.833344, 280.166656, 366.833344, 140.666672, 364.833344, 166.166672, 374.833344, 121.166672, 368.833344
1372737178.59615, 268.833344, 368.416656, 281.333344, 367.416656, 281.333344, 367.416656, 140.833344, 365.416656, 167.333344, 376.416656, 121.333344, 369.416656
1372737178.63033, 269.666656, 368.833344, 281.166656, 366.833344, 281.166656, 366.833344, 142.666672, 364.833344, 167.166672, 374.833344, 121.166672, 368.833344
1372737178.66604, 270.166656, 368.583344, 281.166656, 366.583344, 281.166656, 366.583344, 143.166672, 364.583344, 168.166672, 374.583344, 122.166672, 367.583344
1372737178.69666, 271.833344, 368.416656, 282.333344, 367.416656, 282.333344, 367.416656, 143.833344, 364.416656, 169.333344, 375.416656, 123.333344, 367.416656
1372737178.72620, 272.666656, 368.833344, 283.166656, 366.833344, 283.166656, 366.833344, 144.666672, 364.833344, 170.166672, 375.833344, 124.166672, 368.833344
1372737178.75987, 273.000000, 368.000000, 284.000000, 367.000000, 284.000000, 367.000000, 145.000000, 364.000000, 171.000000, 376.000000, 124.000000, 369.000000
1372737178.79357, 274.666656, 368.833344, 286.166656, 364.833344, 287.166656, 368.833344, 146.666672, 364.833344, 172.166672, 374.833344, 125.166672, 367.833344
1372737178.82831, 275.500000, 368.750000, 286.000000, 367.250000, 286.000000, 367.250000, 146.500000, 365.750000, 173.000000, 375.250000, 126.000000, 368.250000
1372737178.86585, 276.583344, 368.791656, 286.083344, 367.291656, 286.083344, 367.291656, 148.583344, 364.791656, 174.083344, 375.291656, 127.083344, 368.291656
1372737178.90162, 277.583344, 371.291656, 287.083344, 367.291656, 287.083344, 367.291656, 148.583344, 374.291656, 159.083344, 363.291656, 159.083344, 363.291656
1372737178.93426, 278.416656, 368.208344, 288.416656, 366.708344, 288.416656, 366.708344, 150.416672, 364.208344, 159.416672, 362.708344, 159.416672, 362.708344
1372737178.96839, 279.583344, 368.791656, 289.083344, 367.291656, 289.083344, 367.291656, 150.583344, 364.791656, 160.083344, 363.291656, 137.083344, 368.291656
1372737179.00989, 279.000000, 374.500000, 289.000000, 367.000000, 289.000000, 367.000000, 151.000000, 374.500000, 161.000000, 363.000000, 161.000000, 363.000000
