Seconds.milliseconds since 1970,leftIrisX,leftIrisY,leftEyeHeadX,leftEyeHeadY,leftEyeBottomX,leftEyeBottomY,rightIrisX,rightIrisY,rightEyeHeadX,rightEyeHeadY,rightEyeBottomX,rightEyeBottomY
1372737812.27136, 270.166656, 345.583344, 247.166656, 343.583344, 279.166656, 339.583344, 189.166672, 334.583344, 202.166672, 337.583344, 178.166672, 327.583344
1372737812.30679, 271.333344, 346.166656, 247.333344, 344.166656, 279.333344, 340.166656, 188.333328, 333.166656, 202.333328, 337.166656, 178.333328, 328.166656
1372737812.34186, 271.500000, 346.750000, 260.000000, 344.250000, 279.000000, 340.250000, 196.500000, 340.750000, 218.000000, 345.250000, 218.000000, 345.250000
1372737812.37521, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
1372737812.40979, 271.333344, 345.166656, 247.333344, 344.166656, 279.333344, 339.166656, 194.333328, 338.166656, 217.333328, 345.166656, 178.333328, 328.166656
1372737812.44927, 270.583344, 345.791656, 301.083344, 361.291656, 240.083344, 330.291656, 189.583328, 334.791656, 202.083328, 337.291656, 178.083328, 328.291656
1372737812.48491, 271.500000, 346.750000, 304.000000, 363.250000, 239.000000, 330.250000, 194.500000, 337.750000, 217.000000, 345.250000, 217.000000, 345.250000
1372737812.52197, 271.333344, 346.166656, 247.333344, 344.166656, 247.333344, 344.166656, 190.333328, 335.166656, 176.333328, 329.166656, 176.333328, 329.166656
1372737812.55969, 271.500000, 346.750000, 260.000000, 344.250000, 260.000000, 344.250000, 194.500000, 337.750000, 217.000000, 345.250000, 178.000000, 329.250000
1372737812.59681, 270.333344, 345.166656, 247.333344, 342.166656, 260.333344, 344.166656, 195.333328, 338.166656, 163.333328, 322.166656, 227.333328, 354.166656
1372737812.63413, 270.500000, 345.750000, 247.000000, 342.250000, 279.000000, 339.250000, 194.500000, 337.750000, 217.000000, 345.250000, 217.000000, 345.250000
1372737812.67089, 270.500000, 345.750000, 247.000000, 342.250000, 279.000000, 339.250000, 189.500000, 334.750000, 157.000000, 318.250000, 222.000000, 351.250000
1372737812.70815, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
1372737812.74478, 270.333344, 345.166656, 247.333344, 342.166656, 247.333344, 342.166656, 195.333328, 340.166656, 218.333328, 345.166656, 218.333328, 345.166656
1372737812.78300, 271.666656, 345.333344, 247.166656, 341.833344, 247.166656, 341.833344, 195.666672, 338.333344, 217.166672, 344.833344, 217.166672, 344.833344
1372737812.81931, 271.666656, 345.333344, 247.166656, 341.833344, 247.166656, 341.833344, 192.666672, 335.333344, 159.166672, 317.833344, 226.166672, 352.833344
1372737812.85676, 271.500000, 345.750000, 279.000000, 339.250000, 279.000000, 339.250000, 189.500000, 334.750000, 178.000000, 328.250000, 178.000000, 328.250000
1372737812.89445, 271.333344, 345.166656, 248.333344, 344.166656, 248.333344, 344.166656, 195.333328, 337.166656, 219.333328, 336.166656, 218.333328, 345.166656
1372737812.93123, 271.666656, 345.333344, 248.166656, 343.833344, 248.166656, 343.833344, 190.666672, 333.333344, 177.166672, 328.833344, 177.166672, 328.833344
1372737812.96616, 271.333344, 345.166656, 248.333344, 344.166656, 248.333344, 344.166656, 194.333328, 335.166656, 218.333328, 344.166656, 218.333328, 344.166656
1372737813.00076, 271.583344, 345.791656, 302.083344, 361.291656, 241.083344, 330.291656, 190.583328, 333.791656, 203.083328, 337.291656, 177.083328, 329.291656
1372737813.03504, 271.500000, 345.750000, 248.000000, 344.250000, 248.000000, 344.250000, 190.500000, 333.750000, 203.000000, 338.250000, 177.000000, 329.250000
1372737813.06981, 273.500000, 357.250000, 301.000000, 371.250000, 246.000000, 343.250000, 202.500000, 368.250000, 175.000000, 354.250000, 230.000000, 382.250000
1372737813.10532, 272.500000, 345.750000, 305.000000, 362.250000, 240.000000, 329.250000, 192.500000, 336.750000, 160.000000, 320.250000, 225.000000, 353.250000
1372737813.14008, 271.500000, 345.750000, 248.000000, 343.250000, 248.000000, 343.250000, 194.500000, 336.750000, 218.000000, 345.250000, 218.000000, 345.250000
1372737813.17448, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
1372737813.20880, 272.500000, 345.750000, 252.000000, 357.250000, 252.000000, 357.250000, 195.500000, 338.750000, 218.000000, 345.250000, 218.000000, 345.250000
1372737813.24335, 272.083344, 345.541656, 305.083344, 362.041656, 239.083344, 329.041656, 194.083344, 336.541656, 217.583344, 345.041656, 217.583344, 345.041656
1372737813.27797, 272.500000, 345.750000, 280.000000, 339.250000, 280.000000, 339.250000, 194.500000, 336.750000, 218.000000, 345.250000, 218.000000, 345.250000
1372737813.31518, 274.083344, 354.041656, 292.083344, 362.041656, 292.083344, 362.041656, 214.083328, 353.041656, 218.083328, 345.041656, 218.083328, 345.041656
1372737813.35144, 272.333344, 345.166656, 248.333344, 343.166656, 248.333344, 343.166656, 196.333328, 338.166656, 218.333328, 345.166656, 218.333328, 345.166656
1372737813.38797, 272.500000, 345.750000, 305.000000, 362.250000, 240.000000, 329.250000, 196.500000, 340.750000, 219.000000, 336.250000, 218.000000, 345.250000
1372737813.42552, 272.500000, 345.750000, 305.000000, 362.250000, 240.000000, 329.250000, 194.500000, 336.750000, 218.000000, 345.250000, 218.000000, 345.250000
1372737813.46285, 272.333344, 345.166656, 248.333344, 343.166656, 281.333344, 339.166656, 196.333328, 338.166656, 218.333328, 345.166656, 218.333328, 345.166656
1372737813.50212, 272.333344, 345.166656, 248.333344, 343.166656, 248.333344, 343.166656, 196.333328, 338.166656, 218.333328, 345.166656, 218.333328, 345.166656
1372737813.53866, 272.083344, 345.541656, 248.083344, 343.041656, 248.083344, 343.041656, 195.083344, 336.541656, 217.583344, 345.041656, 217.583344, 345.041656
1372737813.57544, 272.500000, 345.750000, 305.000000, 362.250000, 240.000000, 329.250000, 194.500000, 336.750000, 162.000000, 320.250000, 227.000000, 353.250000
1372737813.61232, 272.500000, 345.750000, 249.000000, 343.250000, 281.000000, 339.250000, 196.500000, 338.750000, 219.000000, 344.250000, 218.000000, 341.250000
1372737813.64925, 272.083344, 345.541656, 249.083344, 343.041656, 249.083344, 343.041656, 194.083344, 336.541656, 218.583344, 344.041656, 218.583344, 344.041656
1372737813.68644, 272.000000, 345.500000, 246.000000, 334.000000, 249.000000, 342.000000, 197.000000, 338.500000, 223.000000, 331.000000, 219.000000, 344.000000
1372737813.72099, 273.500000, 345.750000, 261.000000, 344.250000, 282.000000, 339.250000, 196.500000, 337.750000, 219.000000, 344.250000, 219.000000, 344.250000
1372737813.75588, 273.333344, 345.166656, 249.333344, 343.166656, 282.333344, 339.166656, 196.333328, 338.166656, 219.333328, 345.166656, 219.333328, 345.166656
1372737813.79043, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
1372737813.82588, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
1372737813.86089, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
1372737813.89621, 273.500000, 346.750000, 306.000000, 363.250000, 241.000000, 330.250000, 196.500000, 337.750000, 219.000000, 345.250000, 219.000000, 345.250000
1372737813.93157, 273.500000, 345.750000, 282.000000, 339.250000, 282.000000, 339.250000, 196.500000, 337.750000, 219.000000, 345.250000, 219.000000, 345.250000
1372737813.96625, 273.333344, 345.166656, 249.333344, 344.166656, 249.333344, 344.166656, 197.333328, 340.166656, 219.333328, 344.166656, 219.333328, 344.166656
1372737814.00089, 273.333344, 345.166656, 249.333344, 343.166656, 283.333344, 340.166656, 197.333328, 340.166656, 219.333328, 344.166656, 219.333328, 344.166656
1372737814.03513, 273.500000, 345.750000, 283.000000, 340.250000, 283.000000, 340.250000, 197.500000, 340.750000, 220.000000, 337.250000, 219.000000, 344.250000
1372737814.07227, 273.333344, 345.166656, 249.333344, 343.166656, 249.333344, 343.166656, 197.333328, 338.166656, 219.333328, 345.166656, 219.333328, 345.166656
1372737814.10885, 273.500000, 345.750000, 283.000000, 340.250000, 283.000000, 340.250000, 196.500000, 337.750000, 219.000000, 345.250000, 219.000000, 345.250000
1372737814.14567, 273.500000, 345.750000, 306.000000, 362.250000, 241.000000, 329.250000, 196.500000, 337.750000, 219.000000, 345.250000, 219.000000, 345.250000
1372737814.18321, 273.333344, 346.166656, 283.333344, 340.166656, 283.333344, 340.166656, 197.333328, 340.166656, 219.333328, 345.166656, 219.333328, 345.166656
1372737814.21878, 273.500000, 346.750000, 306.000000, 363.250000, 241.000000, 330.250000, 196.500000, 337.750000, 219.000000, 345.250000, 219.000000, 345.250000
1372737814.25834, 273.500000, 346.750000, 306.000000, 363.250000, 241.000000, 330.250000, 196.500000, 337.750000, 219.000000, 345.250000, 219.000000, 345.250000
1372737814.29533, 273.500000, 346.750000, 306.000000, 363.250000, 241.000000, 330.250000, 196.500000, 337.750000, 219.000000, 345.250000, 219.000000, 345.250000
1372737814.33334, 274.500000, 346.750000, 283.000000, 340.250000, 283.000000, 340.250000, 196.500000, 337.750000, 219.000000, 345.250000, 219.000000, 345.250000
1372737814.37063, 273.583344, 345.791656, 304.083344, 361.291656, 243.083344, 330.291656, 194.583328, 334.791656, 164.083328, 319.291656, 225.083328, 350.291656
