Seconds.milliseconds since 1970,leftIrisX,leftIrisY,leftEyeHeadX,leftEyeHeadY,leftEyeBottomX,leftEyeBottomY,rightIrisX,rightIrisY,rightEyeHeadX,rightEyeHeadY,rightEyeBottomX,rightEyeBottomY
1372738720.47204, 278.833344, 329.916656, 267.333344, 327.416656, 303.333344, 326.416656, 206.833344, 330.916656, 216.833344, 328.416656, 216.833344, 328.416656
1372738720.51472, 277.250000, 329.125000, 267.250000, 328.125000, 267.250000, 328.125000, 207.250000, 331.125000, 217.250000, 328.125000, 217.250000, 328.125000
1372738720.55186, 278.666656, 328.333344, 267.166656, 326.833344, 267.166656, 326.833344, 206.666672, 330.333344, 216.166672, 327.833344, 216.166672, 327.833344
1372738720.59201, 279.000000, 328.500000, 267.000000, 327.000000, 305.000000, 326.000000, 203.000000, 329.500000, 216.000000, 328.000000, 177.000000, 327.000000
1372738720.62970, 278.416656, 327.708344, 267.416656, 326.708344, 304.416656, 325.708344, 200.416672, 328.708344, 216.416672, 327.708344, 176.416672, 326.708344
1372738720.67151, 278.750000, 327.875000, 267.250000, 327.375000, 305.250000, 326.375000, 199.750000, 327.875000, 216.250000, 328.375000, 190.250000, 322.375000
1372738720.71141, 279.583344, 326.291656, 267.083344, 327.291656, 304.083344, 325.291656, 199.583344, 327.291656, 215.583344, 328.291656, 175.583344, 327.291656
1372738720.74952, 279.583344, 326.291656, 266.083344, 327.291656, 304.083344, 325.291656, 199.583344, 326.291656, 215.583344, 328.291656, 173.583344, 314.291656
1372738720.78801, 280.583344, 326.291656, 267.083344, 327.291656, 307.083344, 326.291656, 199.583344, 326.291656, 215.583344, 328.291656, 188.583344, 324.291656
1372738720.82611, 280.166656, 326.083344, 267.166656, 326.583344, 304.166656, 324.583344, 199.166672, 326.083344, 216.166672, 327.583344, 177.166672, 325.583344
1372738720.86380, 280.583344, 326.291656, 267.083344, 327.291656, 304.083344, 325.291656, 199.583344, 326.291656, 215.583344, 328.291656, 176.583344, 325.291656
1372738720.90035, 280.583344, 326.291656, 267.083344, 327.291656, 305.083344, 325.291656, 199.583344, 326.291656, 215.583344, 328.291656, 189.583344, 325.291656
1372738720.93527, 280.750000, 326.875000, 267.250000, 327.375000, 307.250000, 326.375000, 199.750000, 326.875000, 216.250000, 328.375000, 190.250000, 325.375000
