Seconds.milliseconds since 1970,leftIrisX,leftIrisY,leftEyeHeadX,leftEyeHeadY,leftEyeBottomX,leftEyeBottomY,rightIrisX,rightIrisY,rightEyeHeadX,rightEyeHeadY,rightEyeBottomX,rightEyeBottomY
1372740021.35516, 257.333344, 400.666656, 268.333344, 393.166656, 282.333344, 397.166656, 139.333344, 406.666656, 160.333344, 412.166656, 112.333344, 405.166656
1372740021.38631, 257.500000, 400.250000, 268.000000, 393.250000, 282.000000, 397.250000, 140.500000, 407.250000, 160.000000, 412.250000, 112.000000, 406.250000
1372740021.41832, 257.500000, 400.250000, 268.000000, 393.250000, 282.000000, 397.250000, 140.500000, 407.250000, 160.000000, 412.250000, 122.000000, 410.250000
1372740021.45369, 257.500000, 401.250000, 268.000000, 393.250000, 282.000000, 397.250000, 140.500000, 407.250000, 160.000000, 411.250000, 122.000000, 406.250000
1372740021.48888, 257.500000, 401.250000, 268.000000, 393.250000, 282.000000, 397.250000, 140.500000, 407.250000, 161.000000, 413.250000, 121.000000, 409.250000
1372740021.52277, 257.500000, 401.250000, 268.000000, 393.250000, 282.000000, 397.250000, 140.500000, 407.250000, 161.000000, 414.250000, 121.000000, 409.250000
1372740021.55820, 257.500000, 401.250000, 268.000000, 393.250000, 282.000000, 397.250000, 140.500000, 407.250000, 160.000000, 412.250000, 123.000000, 405.250000
1372740021.60060, 257.500000, 401.250000, 268.000000, 393.250000, 282.000000, 397.250000, 140.500000, 407.250000, 160.000000, 412.250000, 121.000000, 410.250000
1372740021.63850, 257.500000, 401.250000, 277.000000, 395.250000, 282.000000, 397.250000, 140.500000, 407.250000, 161.000000, 413.250000, 111.000000, 407.250000
1372740021.67228, 257.500000, 401.250000, 268.000000, 393.250000, 282.000000, 397.250000, 140.500000, 407.250000, 160.000000, 411.250000, 122.000000, 410.250000
1372740021.70720, 257.333344, 401.666656, 277.333344, 395.166656, 282.333344, 397.166656, 140.333344, 407.666656, 160.333344, 413.166656, 124.333344, 405.166656
1372740021.75405, 257.333344, 401.666656, 277.333344, 395.166656, 282.333344, 397.166656, 139.333344, 407.666656, 160.333344, 413.166656, 121.333344, 409.166656
1372740021.79152, 257.333344, 401.666656, 277.333344, 395.166656, 282.333344, 397.166656, 139.333344, 407.666656, 160.333344, 412.166656, 124.333344, 404.166656
1372740021.82531, 257.166656, 401.083344, 268.166656, 393.583344, 282.166656, 397.583344, 140.166672, 408.083344, 160.166672, 411.583344, 121.166672, 409.583344
1372740021.86164, 257.166656, 402.083344, 278.166656, 395.583344, 282.166656, 397.583344, 140.166672, 408.083344, 161.166672, 413.583344, 121.166672, 409.583344
1372740021.90331, 257.166656, 402.083344, 282.166656, 397.583344, 282.166656, 397.583344, 140.166672, 408.083344, 161.166672, 414.583344, 121.166672, 409.583344
1372740021.94065, 257.166656, 402.083344, 278.166656, 395.583344, 282.166656, 397.583344, 140.166672, 408.083344, 160.166672, 412.583344, 121.166672, 409.583344
1372740021.97406, 257.166656, 402.083344, 278.166656, 395.583344, 282.166656, 397.583344, 140.166672, 408.083344, 161.166672, 414.583344, 121.166672, 409.583344
1372740022.00887, 258.750000, 402.875000, 282.250000, 398.375000, 282.250000, 398.375000, 140.750000, 409.875000, 161.250000, 414.375000, 122.250000, 411.375000
1372740022.04781, 258.166656, 402.083344, 268.166656, 394.583344, 283.166656, 398.583344, 140.166672, 409.083344, 161.166672, 414.583344, 122.166672, 410.583344
