Seconds.milliseconds since 1970,leftIrisX,leftIrisY,leftEyeHeadX,leftEyeHeadY,leftEyeBottomX,leftEyeBottomY,rightIrisX,rightIrisY,rightEyeHeadX,rightEyeHeadY,rightEyeBottomX,rightEyeBottomY
1372737235.50652, 262.666656, 379.833344, 238.166656, 389.833344, 297.166656, 382.833344, 132.666672, 375.833344, 158.166672, 386.833344, 112.166672, 377.833344
1372737235.54510, 262.666656, 379.833344, 238.166656, 389.833344, 297.166656, 383.833344, 131.666672, 375.833344, 158.166672, 386.833344, 112.166672, 378.833344
1372737235.57966, 262.833344, 379.416656, 275.333344, 380.416656, 298.333344, 384.416656, 132.833344, 375.416656, 158.333344, 387.416656, 112.333344, 378.416656
1372737235.62561, 264.666656, 379.833344, 276.166656, 374.833344, 298.166656, 383.833344, 132.666672, 375.833344, 158.166672, 386.833344, 112.166672, 378.833344
1372737235.66021, 262.833344, 379.416656, 275.333344, 378.416656, 298.333344, 384.416656, 132.833344, 375.416656, 158.333344, 387.416656, 112.333344, 378.416656
1372737235.69659, 263.000000, 379.000000, 276.000000, 375.000000, 298.000000, 384.000000, 131.000000, 375.000000, 158.000000, 387.000000, 112.000000, 378.000000
1372737235.73612, 264.666656, 379.833344, 271.166656, 370.833344, 298.166656, 383.833344, 131.666672, 377.833344, 158.166672, 386.833344, 112.166672, 377.833344
1372737235.77143, 261.333344, 380.666656, 238.333344, 390.166656, 295.333344, 388.166656, 132.333344, 376.666656, 159.333344, 387.166656, 112.333344, 378.166656
1372737235.80520, 261.666656, 380.833344, 238.166656, 389.833344, 295.166656, 388.833344, 132.666672, 376.833344, 159.166672, 386.833344, 112.166672, 377.833344
1372737235.83998, 261.833344, 380.416656, 238.333344, 390.416656, 298.333344, 385.416656, 131.833344, 378.416656, 158.333344, 387.416656, 112.333344, 379.416656
1372737235.87819, 261.833344, 380.416656, 276.333344, 376.416656, 298.333344, 385.416656, 132.833344, 376.416656, 158.333344, 387.416656, 112.333344, 378.416656
1372737235.91173, 263.166656, 380.583344, 279.166656, 376.583344, 297.166656, 384.583344, 132.166672, 376.583344, 158.166672, 386.583344, 112.166672, 379.583344
1372737235.94731, 261.166656, 381.583344, 282.166656, 377.583344, 297.166656, 384.583344, 131.166672, 376.583344, 158.166672, 386.583344, 112.166672, 378.583344
1372737235.98678, 264.666656, 382.833344, 237.166656, 391.833344, 297.166656, 385.833344, 130.666672, 377.833344, 158.166672, 387.833344, 112.166672, 378.833344
