Seconds.milliseconds since 1970,leftIrisX,leftIrisY,leftEyeHeadX,leftEyeHeadY,leftEyeBottomX,leftEyeBottomY,rightIrisX,rightIrisY,rightEyeHeadX,rightEyeHeadY,rightEyeBottomX,rightEyeBottomY
1372737485.83061, 273.333344, 397.166656, 251.333344, 399.166656, 304.333344, 402.166656, 135.333344, 389.166656, 167.333344, 391.166656, 125.333344, 384.166656
1372737485.86616, 275.333344, 394.166656, 250.333344, 397.166656, 312.333344, 397.166656, 135.333344, 386.166656, 167.333344, 392.166656, 118.333344, 385.166656
1372737485.90311, 275.166656, 394.583344, 251.166656, 398.583344, 303.166656, 397.583344, 135.166672, 385.583344, 167.166672, 391.583344, 118.166672, 383.583344
1372737485.93672, 276.166656, 393.583344, 251.166656, 397.583344, 302.166656, 394.583344, 135.166672, 384.583344, 167.166672, 391.583344, 118.166672, 383.583344
1372737485.97148, 276.500000, 393.750000, 251.000000, 399.250000, 302.000000, 395.250000, 135.500000, 384.750000, 167.000000, 391.250000, 118.000000, 384.250000
1372737486.00918, 276.750000, 393.375000, 251.250000, 399.375000, 313.250000, 397.375000, 135.750000, 384.375000, 167.250000, 391.375000, 118.250000, 384.375000
1372737486.04266, 276.166656, 393.583344, 251.166656, 397.583344, 302.166656, 394.583344, 135.166672, 384.583344, 167.166672, 391.583344, 118.166672, 383.583344
1372737486.07727, 276.000000, 393.000000, 251.000000, 398.000000, 312.000000, 396.000000, 135.000000, 384.000000, 167.000000, 392.000000, 118.000000, 383.000000
1372737486.11672, 276.166656, 394.583344, 251.166656, 397.583344, 289.166656, 390.583344, 135.166672, 384.583344, 167.166672, 391.583344, 118.166672, 383.583344
1372737486.15043, 276.166656, 394.583344, 251.166656, 397.583344, 289.166656, 391.583344, 135.166672, 384.583344, 167.166672, 391.583344, 118.166672, 383.583344
1372737486.18586, 276.166656, 394.583344, 251.166656, 397.583344, 312.166656, 395.583344, 135.166672, 384.583344, 167.166672, 391.583344, 118.166672, 383.583344
1372737486.22474, 276.166656, 394.583344, 251.166656, 398.583344, 313.166656, 396.583344, 135.166672, 385.583344, 167.166672, 391.583344, 118.166672, 382.583344
1372737486.25829, 276.166656, 394.583344, 251.166656, 398.583344, 302.166656, 395.583344, 135.166672, 385.583344, 167.166672, 391.583344, 117.166672, 383.583344
