Seconds.milliseconds since 1970,leftIrisX,leftIrisY,leftEyeHeadX,leftEyeHeadY,leftEyeBottomX,leftEyeBottomY,rightIrisX,rightIrisY,rightEyeHeadX,rightEyeHeadY,rightEyeBottomX,rightEyeBottomY
1372737538.93292, 272.000000, 396.000000, 248.000000, 401.000000, 298.000000, 397.000000, 134.000000, 388.000000, 165.000000, 396.000000, 118.000000, 388.000000
1372737538.96841, 272.000000, 396.000000, 248.000000, 400.000000, 284.000000, 391.000000, 134.000000, 388.000000, 165.000000, 396.000000, 117.000000, 388.000000
1372737539.00348, 272.000000, 396.000000, 248.000000, 401.000000, 298.000000, 397.000000, 134.000000, 388.000000, 165.000000, 396.000000, 106.000000, 390.000000
1372737539.03707, 272.000000, 396.000000, 247.000000, 400.000000, 290.000000, 393.000000, 134.000000, 388.000000, 165.000000, 396.000000, 117.000000, 388.000000
1372737539.07240, 272.000000, 396.000000, 248.000000, 401.000000, 298.000000, 396.000000, 134.000000, 389.000000, 165.000000, 396.000000, 117.000000, 389.000000
1372737539.11112, 272.166656, 396.583344, 248.166656, 400.583344, 290.166656, 392.583344, 134.166672, 389.583344, 165.166672, 395.583344, 117.166672, 388.583344
1372737539.14455, 272.000000, 396.000000, 248.000000, 401.000000, 284.000000, 392.000000, 134.000000, 389.000000, 165.000000, 395.000000, 117.000000, 389.000000
1372737539.17925, 272.000000, 396.000000, 248.000000, 401.000000, 284.000000, 391.000000, 134.000000, 389.000000, 165.000000, 395.000000, 117.000000, 388.000000
1372737539.22099, 272.000000, 396.000000, 248.000000, 401.000000, 284.000000, 391.000000, 134.000000, 389.000000, 165.000000, 396.000000, 117.000000, 388.000000
1372737539.25733, 272.000000, 396.000000, 248.000000, 401.000000, 298.000000, 397.000000, 135.000000, 389.000000, 165.000000, 396.000000, 117.000000, 388.000000
1372737539.29360, 273.000000, 396.000000, 248.000000, 401.000000, 299.000000, 398.000000, 135.000000, 389.000000, 166.000000, 396.000000, 117.000000, 389.000000
1372737539.33794, 273.166656, 396.583344, 248.166656, 400.583344, 286.166656, 395.583344, 135.166672, 389.583344, 166.166672, 395.583344, 118.166672, 388.583344
1372737539.36946, 273.000000, 397.000000, 248.000000, 401.000000, 309.000000, 399.000000, 134.000000, 389.000000, 166.000000, 397.000000, 118.000000, 389.000000
1372737539.40107, 273.166656, 397.583344, 248.166656, 401.583344, 298.166656, 397.583344, 135.166672, 390.583344, 166.166672, 395.583344, 118.166672, 388.583344
1372737539.43929, 273.166656, 397.583344, 248.166656, 401.583344, 299.166656, 397.583344, 135.166672, 390.583344, 165.166672, 396.583344, 117.166672, 388.583344
1372737539.47265, 273.166656, 397.583344, 248.166656, 401.583344, 298.166656, 397.583344, 134.166672, 390.583344, 165.166672, 396.583344, 117.166672, 388.583344
1372737539.50756, 273.166656, 397.583344, 248.166656, 401.583344, 298.166656, 397.583344, 134.166672, 390.583344, 165.166672, 396.583344, 117.166672, 388.583344
1372737539.55178, 272.000000, 397.000000, 248.000000, 402.000000, 298.000000, 399.000000, 134.000000, 390.000000, 165.000000, 397.000000, 117.000000, 389.000000
1372737539.58500, 272.166656, 397.583344, 247.166656, 401.583344, 298.166656, 398.583344, 134.166672, 390.583344, 165.166672, 396.583344, 117.166672, 389.583344
1372737539.62030, 272.166656, 398.583344, 247.166656, 401.583344, 308.166656, 398.583344, 133.166672, 390.583344, 165.166672, 396.583344, 117.166672, 389.583344
1372737539.66149, 272.000000, 398.000000, 247.000000, 402.000000, 298.000000, 398.000000, 134.000000, 391.000000, 165.000000, 397.000000, 117.000000, 390.000000
1372737539.69477, 272.000000, 398.000000, 247.000000, 402.000000, 308.000000, 399.000000, 134.000000, 391.000000, 165.000000, 397.000000, 117.000000, 391.000000
1372737539.72961, 272.000000, 398.000000, 247.000000, 402.000000, 308.000000, 400.000000, 133.000000, 391.000000, 164.000000, 398.000000, 116.000000, 390.000000
1372737539.76827, 272.166656, 398.583344, 247.166656, 401.583344, 298.166656, 398.583344, 133.166672, 391.583344, 164.166672, 397.583344, 116.166672, 389.583344
1372737539.80169, 272.166656, 398.583344, 247.166656, 401.583344, 298.166656, 398.583344, 133.166672, 391.583344, 164.166672, 397.583344, 117.166672, 390.583344
1372737539.83642, 272.416656, 399.208344, 247.416656, 402.708344, 298.416656, 398.708344, 133.416672, 392.208344, 164.416672, 397.708344, 117.416672, 390.708344
1372737539.87469, 273.000000, 399.000000, 247.000000, 403.000000, 308.000000, 400.000000, 133.000000, 392.000000, 165.000000, 397.000000, 117.000000, 391.000000
1372737539.90810, 273.166656, 400.583344, 248.166656, 403.583344, 298.166656, 399.583344, 134.166672, 393.583344, 165.166672, 398.583344, 117.166672, 391.583344
1372737539.94276, 273.166656, 400.583344, 248.166656, 403.583344, 307.166656, 400.583344, 133.166672, 393.583344, 165.166672, 398.583344, 117.166672, 392.583344
1372737539.98517, 272.583344, 401.791656, 247.083344, 404.291656, 307.083344, 401.291656, 133.583344, 393.791656, 164.083344, 400.291656, 117.083344, 394.291656
1372737540.01868, 272.000000, 401.000000, 247.000000, 405.000000, 308.000000, 402.000000, 133.000000, 394.000000, 164.000000, 400.000000, 117.000000, 394.000000
1372737540.05340, 272.000000, 401.000000, 247.000000, 405.000000, 300.000000, 407.000000, 133.000000, 395.000000, 164.000000, 400.000000, 115.000000, 392.000000
1372737540.09543, 272.000000, 402.000000, 247.000000, 406.000000, 307.000000, 402.000000, 132.000000, 395.000000, 164.000000, 399.000000, 117.000000, 395.000000
1372737540.12873, 271.000000, 403.000000, 246.000000, 405.000000, 306.000000, 403.000000, 132.000000, 396.000000, 163.000000, 402.000000, 116.000000, 396.000000
