Seconds.milliseconds since 1970,leftIrisX,leftIrisY,leftEyeHeadX,leftEyeHeadY,leftEyeBottomX,leftEyeBottomY,rightIrisX,rightIrisY,rightEyeHeadX,rightEyeHeadY,rightEyeBottomX,rightEyeBottomY
1372737653.25388, 246.833344, 392.916656, 258.333344, 389.416656, 258.333344, 389.416656, 139.833344, 388.916656, 161.333344, 395.416656, 127.333344, 387.416656
1372737653.29317, 246.833344, 392.916656, 229.333344, 397.416656, 258.333344, 389.416656, 139.833344, 388.916656, 161.333344, 395.416656, 127.333344, 386.416656
1372737653.32678, 246.250000, 392.125000, 229.250000, 397.125000, 258.250000, 389.125000, 139.250000, 388.125000, 161.250000, 395.125000, 125.250000, 387.125000
1372737653.36100, 246.666672, 392.333344, 229.166672, 397.833344, 258.166687, 388.833344, 139.666672, 388.333344, 161.166672, 394.833344, 127.166672, 385.833344
1372737653.40079, 246.833344, 392.916656, 229.333344, 397.416656, 258.333344, 389.416656, 139.833344, 388.916656, 161.333344, 395.416656, 127.333344, 387.416656
1372737653.43357, 247.666672, 392.333344, 229.166672, 396.833344, 258.166687, 388.833344, 139.666672, 388.333344, 161.166672, 394.833344, 127.166672, 385.833344
1372737653.46752, 246.666672, 392.333344, 229.166672, 396.833344, 258.166687, 388.833344, 139.666672, 388.333344, 161.166672, 394.833344, 127.166672, 385.833344
1372737653.50974, 247.250000, 392.125000, 229.250000, 397.125000, 258.250000, 389.125000, 139.250000, 388.125000, 161.250000, 395.125000, 127.250000, 386.125000
1372737653.54619, 246.250000, 392.125000, 230.250000, 397.125000, 258.250000, 389.125000, 139.250000, 388.125000, 161.250000, 395.125000, 127.250000, 386.125000
1372737653.57916, 247.666672, 392.333344, 229.166672, 396.833344, 258.166687, 388.833344, 139.666672, 388.333344, 161.166672, 394.833344, 127.166672, 385.833344
1372737653.61354, 247.833344, 392.916656, 258.333344, 389.416656, 258.333344, 389.416656, 139.833344, 388.916656, 161.333344, 394.416656, 126.333344, 387.416656
1372737653.65784, 246.833344, 392.916656, 258.333344, 389.416656, 258.333344, 389.416656, 139.833344, 388.916656, 161.333344, 395.416656, 127.333344, 386.416656
1372737653.69347, 247.666672, 392.333344, 258.166687, 388.833344, 258.166687, 388.833344, 139.666672, 388.333344, 161.166672, 394.833344, 127.166672, 385.833344
1372737653.72691, 246.833344, 393.916656, 258.333344, 389.416656, 258.333344, 389.416656, 139.833344, 388.916656, 161.333344, 395.416656, 127.333344, 386.416656
1372737653.76183, 247.833344, 393.916656, 230.333344, 398.416656, 258.333344, 389.416656, 139.833344, 388.916656, 161.333344, 395.416656, 125.333344, 388.416656
1372737653.79928, 247.666672, 393.333344, 230.166672, 396.833344, 268.166687, 385.833344, 140.666672, 388.333344, 162.166672, 395.833344, 125.166672, 387.833344
1372737653.83423, 248.166672, 393.083344, 230.166672, 396.583344, 259.166687, 388.583344, 140.166672, 388.083344, 162.166672, 394.583344, 128.166672, 385.583344
1372737653.86747, 248.166672, 393.083344, 230.166672, 397.583344, 259.166687, 388.583344, 140.166672, 388.083344, 162.166672, 395.583344, 128.166672, 385.583344
1372737653.90204, 248.583344, 393.291656, 231.083344, 397.291656, 259.083344, 389.291656, 140.583344, 388.291656, 163.083344, 396.291656, 128.083344, 386.291656
1372737653.94115, 248.833344, 393.916656, 231.333344, 398.416656, 271.333344, 388.416656, 141.833344, 389.916656, 163.333344, 396.416656, 129.333344, 386.416656
1372737653.97569, 249.666672, 393.333344, 231.166672, 398.833344, 276.166687, 393.833344, 140.666672, 389.333344, 163.166672, 395.833344, 126.166672, 387.833344
1372737654.00835, 249.000000, 393.500000, 232.000000, 398.000000, 282.000000, 398.000000, 141.000000, 389.500000, 163.000000, 396.000000, 126.000000, 388.000000
1372737654.04241, 249.833344, 393.916656, 232.333344, 398.416656, 281.333344, 397.416656, 141.833344, 389.916656, 164.333344, 396.416656, 129.333344, 387.416656
1372737654.07968, 249.833344, 393.916656, 232.333344, 399.416656, 282.333344, 397.416656, 141.833344, 389.916656, 164.333344, 396.416656, 127.333344, 388.416656
1372737654.11392, 250.833344, 394.916656, 232.333344, 399.416656, 262.333344, 392.416656, 142.833344, 389.916656, 164.333344, 396.416656, 127.333344, 388.416656
1372737654.14625, 250.833344, 394.916656, 232.333344, 399.416656, 269.333344, 403.416656, 142.833344, 389.916656, 164.333344, 396.416656, 127.333344, 388.416656
1372737654.18017, 250.833344, 394.916656, 232.333344, 399.416656, 282.333344, 397.416656, 142.833344, 389.916656, 164.333344, 396.416656, 127.333344, 388.416656
1372737654.22152, 250.833344, 393.916656, 232.333344, 398.416656, 270.333344, 394.416656, 142.833344, 389.916656, 164.333344, 396.416656, 127.333344, 388.416656
1372737654.25835, 250.000000, 393.500000, 232.000000, 398.000000, 263.000000, 391.000000, 143.000000, 389.500000, 164.000000, 396.000000, 127.000000, 389.000000
1372737654.29113, 250.833344, 394.916656, 233.333344, 398.416656, 282.333344, 397.416656, 143.833344, 389.916656, 164.333344, 396.416656, 127.333344, 388.416656
1372737654.32623, 251.833344, 394.916656, 233.333344, 399.416656, 284.333344, 404.416656, 144.833344, 389.916656, 165.333344, 396.416656, 128.333344, 389.416656
1372737654.36637, 251.833344, 394.916656, 233.333344, 399.416656, 273.333344, 389.416656, 143.833344, 389.916656, 165.333344, 396.416656, 128.333344, 389.416656
1372737654.40238, 252.833344, 394.916656, 233.333344, 399.416656, 273.333344, 389.416656, 144.833344, 389.916656, 165.333344, 396.416656, 128.333344, 389.416656
1372737654.43504, 252.500000, 394.750000, 234.000000, 399.250000, 272.000000, 388.250000, 144.500000, 389.750000, 166.000000, 397.250000, 129.000000, 389.250000
1372737654.46939, 252.666672, 394.333344, 234.166672, 398.833344, 272.166687, 387.833344, 144.666672, 389.333344, 166.166672, 396.833344, 129.166672, 388.833344
1372737654.51145, 253.833344, 394.916656, 235.333344, 399.416656, 274.333344, 389.416656, 145.833344, 389.916656, 166.333344, 396.416656, 130.333344, 389.416656
1372737654.54824, 253.250000, 394.125000, 235.250000, 399.125000, 266.250000, 393.125000, 146.250000, 389.125000, 167.250000, 396.125000, 130.250000, 390.125000
1372737654.58098, 255.666672, 395.333344, 235.166672, 398.833344, 267.166687, 392.833344, 147.666672, 389.333344, 167.166672, 395.833344, 130.166672, 388.833344
1372737654.61550, 256.833344, 395.916656, 236.333344, 399.416656, 286.333344, 399.416656, 148.833344, 389.916656, 167.333344, 396.416656, 131.333344, 389.416656
1372737654.65673, 256.666656, 395.333344, 236.166656, 398.833344, 288.166656, 404.833344, 149.666672, 389.333344, 168.166672, 396.833344, 136.166672, 385.833344
1372737654.69203, 256.666656, 394.333344, 236.166656, 398.833344, 284.166656, 398.833344, 149.666672, 389.333344, 168.166672, 395.833344, 137.166672, 387.833344
1372737654.72505, 256.666656, 395.333344, 236.166656, 398.833344, 274.166656, 387.833344, 148.666672, 389.333344, 168.166672, 395.833344, 133.166672, 388.833344
1372737654.75943, 256.083344, 395.541656, 236.083344, 399.041656, 284.083344, 400.041656, 148.083344, 389.541656, 168.083344, 396.041656, 132.083344, 390.041656
1372737654.79724, 256.333344, 395.166656, 236.333344, 399.166656, 274.333344, 389.166656, 149.333344, 389.166656, 168.333344, 396.166656, 132.333344, 389.166656
1372737654.83176, 256.250000, 395.125000, 236.250000, 399.125000, 286.250000, 399.125000, 149.250000, 389.125000, 168.250000, 396.125000, 136.250000, 387.125000
1372737654.86484, 256.833344, 395.916656, 236.333344, 400.416656, 273.333344, 397.416656, 149.833344, 390.916656, 168.333344, 397.416656, 132.333344, 390.416656
1372737654.89933, 256.666656, 395.333344, 237.166656, 399.833344, 286.166656, 398.833344, 149.666672, 390.333344, 168.166672, 395.833344, 132.166672, 389.833344
1372737654.93751, 256.666656, 395.333344, 237.166656, 398.833344, 283.166656, 402.833344, 149.666672, 390.333344, 168.166672, 396.833344, 133.166672, 389.833344
1372737654.97310, 257.333344, 395.166656, 236.333344, 400.166656, 286.333344, 399.166656, 150.333344, 390.166656, 168.333344, 396.166656, 133.333344, 390.166656
1372737655.00666, 258.500000, 395.750000, 237.000000, 399.250000, 286.000000, 399.250000, 151.500000, 389.750000, 168.000000, 396.250000, 139.000000, 387.250000
1372737655.04143, 259.666656, 395.333344, 237.166656, 398.833344, 271.166656, 394.833344, 152.666672, 389.333344, 168.166672, 395.833344, 139.166672, 386.833344
