Seconds.milliseconds since 1970,leftIrisX,leftIrisY,leftEyeHeadX,leftEyeHeadY,leftEyeBottomX,leftEyeBottomY,rightIrisX,rightIrisY,rightEyeHeadX,rightEyeHeadY,rightEyeBottomX,rightEyeBottomY
1372737705.67258, 220.833344, 402.916656, 202.333344, 408.416656, 240.333344, 403.416656, 115.833336, 401.916656, 135.333344, 407.416656, 100.333336, 401.416656
1372737705.70885, 221.500000, 402.750000, 202.000000, 408.250000, 240.000000, 403.250000, 115.500000, 401.750000, 135.000000, 407.250000, 101.000000, 401.250000
1372737705.74150, 220.833344, 402.916656, 202.333344, 407.416656, 241.333344, 402.416656, 115.833336, 401.916656, 135.333344, 407.416656, 101.333336, 401.416656
1372737705.77972, 220.666672, 402.333344, 202.166672, 407.833344, 240.166672, 402.833344, 115.666672, 401.333344, 135.166672, 405.833344, 101.166672, 400.833344
1372737705.81666, 220.666672, 402.333344, 202.166672, 407.833344, 252.166672, 403.833344, 116.666672, 401.333344, 135.166672, 406.833344, 101.166672, 400.833344
1372737705.84950, 221.666672, 403.333344, 202.166672, 407.833344, 241.166672, 402.833344, 116.666672, 401.333344, 135.166672, 406.833344, 101.166672, 400.833344
1372737705.88426, 221.083344, 403.541656, 202.083344, 408.041656, 241.083344, 403.041656, 116.083336, 401.541656, 135.083344, 407.041656, 101.083336, 401.041656
1372737705.92673, 221.500000, 403.750000, 203.000000, 408.250000, 250.000000, 403.250000, 116.500000, 401.750000, 135.000000, 407.250000, 101.000000, 401.250000
1372737705.96310, 221.666672, 403.333344, 203.166672, 407.833344, 234.166672, 400.833344, 116.666672, 401.333344, 136.166672, 406.833344, 101.166672, 400.833344
1372737705.99601, 221.916672, 403.958344, 203.416672, 407.958344, 240.416672, 402.958344, 116.916672, 401.958344, 136.416672, 407.958344, 101.416672, 400.958344
1372737706.03065, 221.333344, 403.166656, 203.333344, 408.166656, 241.333344, 404.166656, 116.333336, 402.166656, 136.333344, 408.166656, 101.333336, 402.166656
1372737706.07037, 221.500000, 403.750000, 203.000000, 409.250000, 241.000000, 404.250000, 116.500000, 402.750000, 136.000000, 408.250000, 101.000000, 402.250000
1372737706.10687, 221.916672, 404.958344, 203.416672, 408.958344, 239.416672, 412.958344, 116.916672, 402.958344, 136.416672, 407.958344, 101.416672, 401.958344
1372737706.13985, 221.500000, 404.750000, 203.000000, 409.250000, 240.000000, 404.250000, 116.500000, 402.750000, 136.000000, 408.250000, 101.000000, 402.250000
1372737706.17390, 221.000000, 404.000000, 203.000000, 409.000000, 241.000000, 404.000000, 116.000000, 405.000000, 136.000000, 408.000000, 101.000000, 402.000000
1372737706.21261, 221.416672, 404.208344, 203.416672, 408.708344, 245.416672, 395.708344, 116.416672, 404.208344, 136.416672, 408.708344, 101.416672, 401.708344
1372737706.24674, 221.666672, 405.333344, 203.166672, 408.833344, 233.166672, 402.833344, 116.666672, 403.333344, 135.166672, 406.833344, 101.166672, 401.833344
1372737706.27918, 221.833344, 405.916656, 202.333344, 410.416656, 240.333344, 405.416656, 116.833336, 403.916656, 135.333344, 408.416656, 101.333336, 402.416656
1372737706.31290, 221.333344, 405.166656, 202.333344, 409.166656, 237.333344, 400.166656, 115.333336, 403.166656, 135.333344, 409.166656, 101.333336, 403.166656
1372737706.35140, 220.583344, 405.791656, 202.083344, 410.291656, 233.083344, 404.291656, 115.583336, 404.791656, 135.083344, 408.291656, 101.083336, 403.291656
1372737706.38597, 221.166672, 405.583344, 203.166672, 409.583344, 233.166672, 403.583344, 115.166672, 404.583344, 135.166672, 408.583344, 101.166672, 402.583344
1372737706.41878, 220.666672, 405.333344, 202.166672, 410.833344, 240.166672, 404.833344, 116.666672, 404.333344, 135.166672, 408.833344, 101.166672, 402.833344
1372737706.45344, 221.333344, 406.166656, 202.333344, 410.166656, 233.333344, 404.166656, 115.333336, 404.166656, 135.333344, 409.166656, 100.333336, 403.166656
1372737706.49149, 220.666672, 406.333344, 202.166672, 410.833344, 236.166672, 400.833344, 115.666672, 405.333344, 135.166672, 409.833344, 103.166672, 401.833344
1372737706.52600, 220.833344, 407.916656, 202.333344, 411.416656, 236.333344, 401.416656, 115.833336, 405.916656, 135.333344, 410.416656, 101.333336, 404.416656
1372737706.55894, 220.250000, 407.125000, 202.250000, 412.125000, 250.250000, 407.125000, 115.250000, 405.125000, 135.250000, 411.125000, 100.250000, 404.125000
1372737706.59291, 220.833344, 408.916656, 201.333344, 412.416656, 234.333344, 401.416656, 115.833336, 406.916656, 135.333344, 411.416656, 101.333336, 405.416656
1372737706.63229, 220.500000, 408.750000, 201.000000, 412.250000, 252.000000, 409.250000, 115.500000, 407.750000, 134.000000, 411.250000, 100.000000, 405.250000
1372737706.66845, 221.666672, 411.333344, 201.166672, 411.833344, 244.166672, 397.833344, 115.666672, 409.333344, 135.166672, 411.833344, 127.166672, 404.833344
