Seconds.milliseconds since 1970,leftIrisX,leftIrisY,leftEyeHeadX,leftEyeHeadY,leftEyeBottomX,leftEyeBottomY,rightIrisX,rightIrisY,rightEyeHeadX,rightEyeHeadY,rightEyeBottomX,rightEyeBottomY
1372738776.34246, 283.833344, 330.916656, 270.333344, 331.416656, 309.333344, 330.416656, 200.833344, 328.916656, 217.833344, 331.416656, 189.833344, 326.416656
1372738776.38527, 283.166656, 330.083344, 270.166656, 331.583344, 310.166656, 329.583344, 199.166672, 328.083344, 217.166672, 329.583344, 190.166672, 325.583344
1372738776.41880, 283.000000, 330.500000, 270.000000, 332.000000, 293.000000, 327.000000, 199.000000, 328.500000, 217.000000, 330.000000, 190.000000, 326.000000
1372738776.45382, 283.000000, 330.500000, 270.000000, 332.000000, 309.000000, 330.000000, 199.000000, 328.500000, 217.000000, 330.000000, 189.000000, 326.000000
1372738776.49867, 283.166656, 330.083344, 270.166656, 330.583344, 307.166656, 328.583344, 199.166672, 328.083344, 217.166672, 329.583344, 189.166672, 325.583344
1372738776.53228, 282.166656, 329.083344, 269.166656, 330.583344, 309.166656, 329.583344, 199.166672, 328.083344, 217.166672, 330.583344, 190.166672, 325.583344
1372738776.56691, 282.166656, 329.083344, 269.166656, 330.583344, 305.166656, 328.583344, 199.166672, 328.083344, 217.166672, 330.583344, 190.166672, 325.583344
1372738776.60873, 283.166656, 329.083344, 269.166656, 330.583344, 308.166656, 328.583344, 199.166672, 328.083344, 217.166672, 330.583344, 190.166672, 325.583344
1372738776.64367, 282.166656, 329.083344, 269.166656, 330.583344, 305.166656, 328.583344, 199.166672, 328.083344, 217.166672, 330.583344, 190.166672, 325.583344
1372738776.67992, 283.166656, 329.083344, 269.166656, 330.583344, 308.166656, 328.583344, 199.166672, 327.083344, 217.166672, 330.583344, 190.166672, 325.583344
1372738776.71778, 283.166656, 329.083344, 269.166656, 330.583344, 306.166656, 328.583344, 199.166672, 328.083344, 217.166672, 330.583344, 190.166672, 325.583344
1372738776.75114, 283.583344, 329.291656, 270.083344, 331.291656, 293.083344, 327.291656, 199.583344, 328.291656, 216.583344, 330.291656, 189.583344, 326.291656
