Seconds.milliseconds since 1970,leftIrisX,leftIrisY,leftEyeHeadX,leftEyeHeadY,leftEyeBottomX,leftEyeBottomY,rightIrisX,rightIrisY,rightEyeHeadX,rightEyeHeadY,rightEyeBottomX,rightEyeBottomY
1372739232.79034, 278.833344, 343.916656, 260.333344, 348.416656, 295.333344, 339.416656, 161.833344, 348.916656, 186.333344, 351.416656, 145.333344, 350.416656
1372739232.82601, 279.000000, 343.500000, 260.000000, 349.000000, 296.000000, 340.000000, 161.000000, 348.500000, 186.000000, 351.000000, 146.000000, 351.000000
1372739232.85741, 279.583344, 343.291656, 260.083344, 348.291656, 296.083344, 340.291656, 161.583344, 348.291656, 186.083344, 351.291656, 145.083344, 350.291656
1372739232.89474, 279.000000, 343.500000, 260.000000, 349.000000, 296.000000, 340.000000, 161.000000, 348.500000, 187.000000, 351.000000, 146.000000, 350.000000
1372739232.92786, 280.000000, 343.500000, 260.000000, 349.000000, 296.000000, 340.000000, 161.000000, 348.500000, 187.000000, 351.000000, 146.000000, 351.000000
1372739232.96224, 279.250000, 343.125000, 260.250000, 349.125000, 306.250000, 346.125000, 161.250000, 348.125000, 187.250000, 351.125000, 146.250000, 351.125000
1372739233.00369, 280.833344, 343.916656, 260.333344, 349.416656, 306.333344, 346.416656, 161.833344, 348.916656, 187.333344, 352.416656, 146.333344, 351.416656
1372739233.03822, 280.833344, 343.916656, 260.333344, 349.416656, 296.333344, 340.416656, 161.833344, 348.916656, 185.333344, 349.416656, 146.333344, 351.416656
1372739233.07335, 279.666656, 343.333344, 260.166656, 348.833344, 296.166656, 339.833344, 161.666672, 348.333344, 187.166672, 351.833344, 129.166672, 334.833344
1372739233.11169, 279.833344, 343.916656, 260.333344, 349.416656, 296.333344, 340.416656, 161.833344, 348.916656, 187.333344, 351.416656, 146.333344, 350.416656
1372739233.14646, 279.833344, 343.916656, 260.333344, 348.416656, 306.333344, 346.416656, 161.833344, 348.916656, 187.333344, 351.416656, 146.333344, 350.416656
1372739233.17951, 279.666656, 343.333344, 260.166656, 348.833344, 296.166656, 339.833344, 161.666672, 348.333344, 185.166672, 348.833344, 146.166672, 350.833344
1372739233.21414, 279.166656, 343.083344, 260.166656, 347.583344, 296.166656, 339.583344, 161.166672, 348.083344, 187.166672, 350.583344, 146.166672, 349.583344
1372739233.25354, 279.833344, 343.916656, 260.333344, 349.416656, 296.333344, 340.416656, 161.833344, 348.916656, 185.333344, 349.416656, 146.333344, 350.416656
1372739233.28766, 279.666656, 343.333344, 260.166656, 348.833344, 308.166656, 346.833344, 161.666672, 348.333344, 187.166672, 350.833344, 145.166672, 350.833344
1372739233.32367, 280.833344, 343.916656, 260.333344, 349.416656, 305.333344, 346.416656, 161.833344, 348.916656, 187.333344, 352.416656, 146.333344, 351.416656
1372739233.36225, 280.166656, 343.083344, 260.166656, 348.583344, 306.166656, 345.583344, 162.166672, 348.083344, 185.166672, 348.583344, 145.166672, 350.583344
1372739233.39581, 280.000000, 343.500000, 260.000000, 349.000000, 306.000000, 346.000000, 162.000000, 348.500000, 186.000000, 351.000000, 146.000000, 350.000000
1372739233.43033, 280.833344, 343.916656, 260.333344, 349.416656, 306.333344, 346.416656, 162.833344, 348.916656, 186.333344, 351.416656, 145.333344, 351.416656
1372739233.47172, 280.833344, 344.916656, 260.333344, 349.416656, 312.333344, 346.416656, 162.833344, 348.916656, 185.333344, 349.416656, 146.333344, 351.416656
1372739233.50488, 280.000000, 343.500000, 260.000000, 349.000000, 306.000000, 346.000000, 162.000000, 348.500000, 187.000000, 352.000000, 146.000000, 351.000000
1372739233.53924, 280.000000, 343.500000, 260.000000, 349.000000, 306.000000, 346.000000, 162.000000, 348.500000, 187.000000, 352.000000, 146.000000, 351.000000
1372739233.58085, 281.833344, 343.916656, 260.333344, 348.416656, 314.333344, 347.416656, 162.833344, 348.916656, 186.333344, 349.416656, 146.333344, 351.416656
1372739233.61381, 281.583344, 343.291656, 260.083344, 349.291656, 312.083344, 346.291656, 162.583344, 348.291656, 187.083344, 351.291656, 146.083344, 351.291656
1372739233.64824, 281.000000, 343.500000, 261.000000, 348.000000, 313.000000, 346.000000, 163.000000, 348.500000, 187.000000, 352.000000, 146.000000, 351.000000
1372739233.69240, 281.583344, 344.291656, 261.083344, 349.291656, 313.083344, 346.291656, 163.583344, 348.291656, 188.083344, 352.291656, 146.083344, 351.291656
1372739233.72809, 281.000000, 344.500000, 261.000000, 349.000000, 307.000000, 346.000000, 163.000000, 348.500000, 188.000000, 352.000000, 147.000000, 351.000000
1372739233.76079, 281.416656, 344.708344, 261.416656, 348.708344, 307.416656, 345.708344, 163.416672, 348.708344, 188.416672, 351.708344, 147.416672, 350.708344
1372739233.79483, 281.250000, 344.125000, 261.250000, 349.125000, 313.250000, 346.125000, 164.250000, 348.125000, 186.250000, 348.125000, 147.250000, 351.125000
1372739233.83495, 282.000000, 343.500000, 261.000000, 349.000000, 313.000000, 346.000000, 164.000000, 348.500000, 186.000000, 348.000000, 148.000000, 351.000000
1372739233.86795, 283.583344, 343.291656, 262.083344, 349.291656, 293.083344, 340.291656, 165.583344, 348.291656, 186.083344, 348.291656, 147.083344, 350.291656
1372739233.90239, 283.416656, 343.708344, 294.416656, 339.708344, 294.416656, 339.708344, 165.416672, 348.708344, 187.416672, 348.708344, 148.416672, 350.708344
1372739233.94007, 283.166656, 344.083344, 294.166656, 339.583344, 294.166656, 339.583344, 165.166672, 348.083344, 188.166672, 351.583344, 147.166672, 350.583344
1372739233.97341, 283.583344, 344.291656, 294.083344, 340.291656, 294.083344, 340.291656, 166.583344, 348.291656, 189.083344, 351.291656, 147.083344, 350.291656
1372739234.00776, 283.333344, 344.666656, 294.333344, 341.166656, 294.333344, 341.166656, 166.333344, 348.666656, 189.333344, 352.166656, 148.333344, 351.166656
1372739234.04562, 284.000000, 344.500000, 295.000000, 341.000000, 295.000000, 341.000000, 166.000000, 348.500000, 190.000000, 351.000000, 148.000000, 351.000000
1372739234.07887, 284.166656, 344.083344, 295.166656, 340.583344, 295.166656, 340.583344, 166.166672, 348.083344, 190.166672, 350.583344, 149.166672, 350.583344
1372739234.11307, 284.583344, 344.291656, 295.083344, 341.291656, 295.083344, 341.291656, 167.583344, 348.291656, 190.083344, 351.291656, 148.083344, 351.291656
1372739234.15114, 284.833344, 344.916656, 295.333344, 341.416656, 295.333344, 341.416656, 167.833344, 348.916656, 190.333344, 351.416656, 147.333344, 350.416656
1372739234.18434, 285.666656, 344.333344, 294.166656, 340.833344, 294.166656, 340.833344, 167.666672, 348.333344, 189.166672, 349.833344, 147.166672, 348.833344
1372739234.21877, 286.583344, 344.291656, 295.083344, 341.291656, 295.083344, 341.291656, 168.583344, 348.291656, 189.083344, 349.291656, 149.083344, 351.291656
1372739234.26046, 286.250000, 344.125000, 295.250000, 341.125000, 295.250000, 341.125000, 169.250000, 348.125000, 190.250000, 351.125000, 148.250000, 350.125000
1372739234.29586, 286.000000, 344.500000, 295.000000, 341.000000, 295.000000, 341.000000, 169.000000, 347.500000, 190.000000, 351.000000, 149.000000, 351.000000
1372739234.32903, 287.083344, 344.541656, 296.083344, 341.041656, 296.083344, 341.041656, 170.083344, 347.541656, 189.083344, 348.041656, 149.083344, 351.041656
1372739234.36363, 287.250000, 343.125000, 296.250000, 341.125000, 296.250000, 341.125000, 170.250000, 347.125000, 189.250000, 348.125000, 149.250000, 350.125000
1372739234.40530, 288.666656, 343.333344, 296.166656, 340.833344, 296.166656, 340.833344, 170.666672, 347.333344, 191.166672, 349.833344, 148.166672, 348.833344
1372739234.43832, 291.166656, 343.083344, 297.166656, 340.583344, 297.166656, 340.583344, 173.166672, 347.083344, 190.166672, 350.583344, 148.166672, 350.583344
1372739234.47334, 291.666656, 343.333344, 297.166656, 340.833344, 297.166656, 340.833344, 174.666672, 347.333344, 164.166672, 353.833344, 161.166672, 344.833344
1372739234.51553, 291.000000, 343.500000, 297.000000, 341.000000, 317.000000, 349.000000, 173.000000, 347.500000, 190.000000, 349.000000, 161.000000, 345.000000
1372739234.54837, 291.250000, 343.125000, 297.250000, 341.125000, 302.250000, 342.125000, 174.250000, 347.125000, 191.250000, 351.125000, 161.250000, 345.125000
1372739234.58326, 290.166656, 343.083344, 297.166656, 340.583344, 297.166656, 340.583344, 173.166672, 347.083344, 191.166672, 350.583344, 163.166672, 349.583344
1372739234.62416, 290.333344, 343.666656, 297.333344, 341.166656, 302.333344, 342.166656, 174.333344, 347.666656, 163.333344, 354.166656, 162.333344, 350.166656
