Seconds.milliseconds since 1970,leftIrisX,leftIrisY,leftEyeHeadX,leftEyeHeadY,leftEyeBottomX,leftEyeBottomY,rightIrisX,rightIrisY,rightEyeHeadX,rightEyeHeadY,rightEyeBottomX,rightEyeBottomY
1372739287.72315, 288.166656, 349.083344, 270.166656, 354.583344, 316.166656, 350.583344, 169.166672, 353.083344, 196.166672, 356.583344, 154.166672, 354.583344
1372739287.75822, 288.500000, 349.250000, 270.000000, 355.250000, 316.000000, 351.250000, 169.500000, 353.250000, 197.000000, 357.250000, 136.000000, 342.250000
1372739287.78963, 288.333344, 349.666656, 271.333344, 354.166656, 316.333344, 351.166656, 169.333344, 353.666656, 196.333344, 358.166656, 134.333344, 343.166656
1372739287.82607, 288.583344, 349.291656, 270.083344, 355.291656, 318.083344, 342.291656, 169.583344, 353.291656, 196.083344, 357.291656, 153.083344, 355.291656
1372739287.86044, 288.333344, 349.666656, 270.333344, 354.166656, 318.333344, 352.166656, 169.333344, 353.666656, 196.333344, 357.166656, 154.333344, 355.166656
1372739287.89589, 288.583344, 349.291656, 270.083344, 355.291656, 318.083344, 352.291656, 169.583344, 353.291656, 196.083344, 357.291656, 153.083344, 355.291656
1372739287.93306, 288.166656, 349.083344, 270.166656, 353.583344, 318.166656, 351.583344, 169.166672, 353.083344, 196.166672, 356.583344, 153.166672, 354.583344
1372739287.96574, 288.166656, 349.083344, 270.166656, 354.583344, 318.166656, 351.583344, 169.166672, 353.083344, 196.166672, 356.583344, 154.166672, 354.583344
1372739288.00028, 288.500000, 349.250000, 270.000000, 354.250000, 315.000000, 351.250000, 168.500000, 353.250000, 196.000000, 357.250000, 153.000000, 355.250000
1372739288.03462, 287.500000, 349.250000, 270.000000, 354.250000, 320.000000, 353.250000, 168.500000, 353.250000, 196.000000, 357.250000, 153.000000, 355.250000
1372739288.07108, 287.333344, 349.666656, 270.333344, 354.166656, 318.333344, 351.166656, 168.333344, 353.666656, 196.333344, 357.166656, 153.333344, 355.166656
1372739288.10541, 287.333344, 349.666656, 270.333344, 354.166656, 318.333344, 352.166656, 168.333344, 353.666656, 196.333344, 357.166656, 154.333344, 355.166656
1372739288.14066, 288.666656, 349.833344, 270.166656, 353.833344, 323.166656, 351.833344, 168.666672, 353.833344, 196.166672, 356.833344, 153.166672, 354.833344
1372739288.18148, 288.333344, 349.666656, 270.333344, 354.166656, 321.333344, 351.166656, 168.333344, 353.666656, 196.333344, 357.166656, 153.333344, 356.166656
1372739288.21437, 288.333344, 349.666656, 270.333344, 354.166656, 321.333344, 353.166656, 168.333344, 353.666656, 196.333344, 357.166656, 153.333344, 355.166656
1372739288.24849, 288.000000, 349.500000, 270.000000, 355.000000, 317.000000, 352.000000, 168.000000, 354.500000, 196.000000, 357.000000, 153.000000, 356.000000
1372739288.29049, 288.833344, 349.916656, 269.333344, 355.416656, 315.333344, 351.416656, 168.833344, 354.916656, 196.333344, 357.416656, 153.333344, 355.416656
1372739288.32331, 288.583344, 350.291656, 269.083344, 355.291656, 322.083344, 352.291656, 168.583344, 355.291656, 196.083344, 357.291656, 154.083344, 355.291656
