Seconds.milliseconds since 1970,leftIrisX,leftIrisY,leftEyeHeadX,leftEyeHeadY,leftEyeBottomX,leftEyeBottomY,rightIrisX,rightIrisY,rightEyeHeadX,rightEyeHeadY,rightEyeBottomX,rightEyeBottomY
1372739636.19250, 285.583344, 298.791656, 265.083344, 306.291656, 313.083344, 301.291656, 181.583344, 306.791656, 203.583344, 309.291656, 156.583344, 312.291656
1372739636.23689, 285.750000, 298.375000, 265.250000, 306.375000, 312.250000, 289.375000, 181.750000, 306.375000, 204.250000, 309.375000, 157.250000, 312.375000
1372739636.27394, 285.750000, 299.375000, 265.250000, 306.375000, 312.250000, 300.375000, 181.750000, 306.375000, 204.250000, 309.375000, 157.250000, 312.375000
1372739636.31056, 285.750000, 298.375000, 265.250000, 306.375000, 313.250000, 298.375000, 181.750000, 306.375000, 204.250000, 309.375000, 156.250000, 312.375000
1372739636.35221, 285.916656, 298.958344, 265.416656, 305.958344, 315.416656, 301.958344, 181.916672, 306.958344, 204.416672, 308.958344, 157.416672, 311.958344
1372739636.38569, 284.750000, 299.375000, 265.250000, 306.375000, 312.250000, 298.375000, 180.750000, 306.375000, 204.250000, 309.375000, 156.250000, 312.375000
1372739636.42095, 284.583344, 299.791656, 265.083344, 306.291656, 313.083344, 302.291656, 180.583344, 306.791656, 202.583344, 309.291656, 155.583344, 312.291656
1372739636.46010, 284.583344, 298.791656, 264.083344, 306.291656, 312.083344, 298.291656, 180.583344, 306.791656, 202.583344, 309.291656, 155.583344, 312.291656
1372739636.49441, 284.750000, 298.375000, 264.250000, 306.375000, 312.250000, 304.375000, 180.750000, 306.375000, 203.250000, 309.375000, 156.250000, 312.375000
1372739636.53048, 284.583344, 298.791656, 264.083344, 306.291656, 311.083344, 298.291656, 180.583344, 306.791656, 202.583344, 309.291656, 155.583344, 311.291656
1372739636.56981, 284.583344, 298.791656, 264.083344, 306.291656, 310.083344, 299.291656, 180.583344, 306.791656, 202.583344, 309.291656, 155.583344, 311.291656
1372739636.60372, 284.583344, 298.791656, 264.083344, 306.291656, 311.083344, 298.291656, 180.583344, 306.791656, 202.583344, 309.291656, 154.583344, 312.291656
1372739636.64091, 283.583344, 299.791656, 264.083344, 306.291656, 311.083344, 298.291656, 180.583344, 306.791656, 202.583344, 309.291656, 154.583344, 312.291656
1372739636.67928, 283.916656, 299.958344, 264.416656, 305.958344, 312.416656, 297.958344, 179.916672, 306.958344, 203.416672, 309.958344, 155.416672, 311.958344
1372739636.71331, 284.750000, 299.375000, 264.250000, 306.375000, 314.250000, 305.375000, 180.750000, 306.375000, 203.250000, 309.375000, 155.250000, 312.375000
1372739636.74869, 284.583344, 299.791656, 264.083344, 306.291656, 310.083344, 299.291656, 180.583344, 306.791656, 202.583344, 309.291656, 154.583344, 312.291656
1372739636.79088, 284.583344, 299.791656, 264.083344, 306.291656, 312.083344, 306.291656, 180.583344, 306.791656, 202.583344, 309.291656, 154.583344, 312.291656
1372739636.82581, 284.583344, 299.791656, 264.083344, 306.291656, 311.083344, 298.291656, 180.583344, 306.791656, 202.583344, 309.291656, 155.583344, 312.291656
1372739636.86101, 284.583344, 299.791656, 264.083344, 306.291656, 312.083344, 298.291656, 180.583344, 306.791656, 202.583344, 309.291656, 154.583344, 312.291656
1372739636.90587, 284.583344, 299.791656, 264.083344, 306.291656, 310.083344, 299.291656, 180.583344, 306.791656, 202.583344, 309.291656, 154.583344, 312.291656
1372739636.93999, 285.583344, 299.791656, 264.083344, 306.291656, 314.083344, 305.291656, 180.583344, 306.791656, 202.583344, 309.291656, 155.583344, 312.291656
1372739636.97530, 285.416656, 299.208344, 264.416656, 306.708344, 311.416656, 299.708344, 181.416672, 306.208344, 203.416672, 308.708344, 155.416672, 311.708344
1372739637.01503, 285.750000, 299.375000, 265.250000, 306.375000, 312.250000, 301.375000, 181.750000, 306.375000, 204.250000, 309.375000, 156.250000, 312.375000
1372739637.04838, 285.416656, 299.208344, 265.416656, 305.708344, 315.416656, 304.708344, 181.416672, 306.208344, 204.416672, 308.708344, 156.416672, 311.708344
