Seconds.milliseconds since 1970,leftIrisX,leftIrisY,leftEyeHeadX,leftEyeHeadY,leftEyeBottomX,leftEyeBottomY,rightIrisX,rightIrisY,rightEyeHeadX,rightEyeHeadY,rightEyeBottomX,rightEyeBottomY
1372739697.24334, 282.833344, 320.416656, 264.333344, 327.416656, 307.333344, 321.416656, 187.833344, 325.416656, 194.833344, 323.416656, 163.833344, 329.416656
1372739697.27962, 282.666656, 320.833344, 264.166656, 327.833344, 306.166656, 320.833344, 187.666672, 325.833344, 208.166672, 329.833344, 164.166672, 328.833344
1372739697.31612, 282.083344, 320.041656, 264.083344, 328.041656, 307.083344, 321.041656, 187.083344, 325.041656, 207.583344, 330.041656, 163.583344, 330.041656
1372739697.35038, 282.500000, 321.250000, 264.000000, 328.250000, 308.000000, 320.250000, 187.500000, 325.250000, 196.000000, 324.250000, 171.000000, 328.250000
1372739697.38573, 282.083344, 321.041656, 264.083344, 328.041656, 307.083344, 321.041656, 187.083344, 325.041656, 195.583344, 324.041656, 166.583344, 332.041656
1372739697.42764, 282.666656, 321.833344, 264.166656, 327.833344, 308.166656, 320.833344, 187.666672, 325.833344, 208.166672, 329.833344, 164.166672, 329.833344
1372739697.46285, 282.083344, 321.041656, 264.083344, 328.041656, 306.083344, 327.041656, 187.083344, 325.041656, 207.583344, 330.041656, 170.583344, 328.041656
1372739697.49848, 282.083344, 321.041656, 265.083344, 328.041656, 309.083344, 318.041656, 187.083344, 325.041656, 207.583344, 330.041656, 166.583344, 332.041656
1372739697.53739, 282.500000, 321.250000, 265.000000, 328.250000, 308.000000, 322.250000, 187.500000, 325.250000, 208.000000, 330.250000, 164.000000, 330.250000
1372739697.57138, 283.666656, 321.833344, 265.166656, 327.833344, 307.166656, 320.833344, 187.666672, 326.833344, 208.166672, 329.833344, 172.166672, 328.833344
1372739697.60796, 283.666656, 321.833344, 265.166656, 327.833344, 308.166656, 321.833344, 187.666672, 326.833344, 209.166672, 329.833344, 166.166672, 329.833344
1372739697.64789, 283.833344, 321.416656, 265.333344, 328.416656, 310.333344, 319.416656, 187.833344, 326.416656, 208.833344, 330.416656, 164.833344, 330.416656
1372739697.68251, 283.250000, 321.625000, 265.250000, 328.125000, 308.250000, 322.125000, 187.250000, 326.625000, 208.250000, 330.125000, 165.250000, 331.125000
1372739697.71817, 283.833344, 321.416656, 264.333344, 328.416656, 306.333344, 327.416656, 187.833344, 326.416656, 207.833344, 330.416656, 163.833344, 331.416656
1372739697.75682, 282.250000, 321.625000, 265.250000, 328.125000, 306.250000, 327.125000, 187.250000, 326.625000, 208.250000, 330.125000, 166.250000, 330.125000
1372739697.79047, 283.833344, 322.416656, 265.333344, 328.416656, 310.333344, 319.416656, 188.833344, 326.416656, 208.833344, 331.416656, 165.833344, 330.416656
1372739697.82589, 283.833344, 322.416656, 265.333344, 329.416656, 308.333344, 322.416656, 188.833344, 326.416656, 208.833344, 331.416656, 166.833344, 333.416656
1372739697.86701, 283.916656, 322.458344, 265.416656, 327.958344, 308.416656, 321.958344, 188.916672, 326.458344, 209.416672, 330.958344, 165.416672, 330.958344
1372739697.90122, 283.666656, 322.833344, 265.166656, 328.833344, 308.166656, 321.833344, 188.666672, 326.833344, 209.166672, 330.833344, 172.166672, 328.833344
1372739697.93650, 283.916656, 322.458344, 265.416656, 328.958344, 311.416656, 327.958344, 188.916672, 326.458344, 209.416672, 330.958344, 165.416672, 330.958344
1372739697.98005, 283.666656, 322.833344, 265.166656, 328.833344, 308.166656, 321.833344, 188.666672, 327.833344, 209.166672, 330.833344, 166.166672, 329.833344
1372739698.01309, 283.500000, 322.250000, 265.000000, 329.250000, 309.000000, 328.250000, 188.500000, 327.250000, 209.000000, 331.250000, 165.000000, 331.250000
1372739698.04804, 283.083344, 322.041656, 265.083344, 329.041656, 308.083344, 322.041656, 188.083344, 327.041656, 208.583344, 331.041656, 165.583344, 331.041656
