Seconds.milliseconds since 1970,leftIrisX,leftIrisY,leftEyeHeadX,leftEyeHeadY,leftEyeBottomX,leftEyeBottomY,rightIrisX,rightIrisY,rightEyeHeadX,rightEyeHeadY,rightEyeBottomX,rightEyeBottomY
1372739971.32438, 275.833344, 399.416656, 296.333344, 393.416656, 301.333344, 396.416656, 156.833344, 403.416656, 178.333344, 410.416656, 137.333344, 402.416656
1372739971.36011, 275.666656, 399.833344, 296.166656, 392.833344, 301.166656, 395.833344, 156.666672, 403.833344, 178.166672, 409.833344, 137.166672, 405.833344
1372739971.39320, 275.666656, 399.833344, 297.166656, 392.833344, 301.166656, 395.833344, 156.666672, 403.833344, 178.166672, 409.833344, 137.166672, 405.833344
1372739971.43043, 275.666656, 399.833344, 287.166656, 390.833344, 301.166656, 395.833344, 156.666672, 403.833344, 178.166672, 409.833344, 138.166672, 401.833344
1372739971.46547, 275.833344, 399.416656, 297.333344, 393.416656, 301.333344, 396.416656, 156.833344, 403.416656, 178.333344, 410.416656, 138.333344, 402.416656
1372739971.50075, 275.083344, 399.041656, 297.083344, 393.041656, 301.083344, 396.041656, 156.083344, 403.041656, 179.083344, 410.041656, 128.083344, 402.041656
1372739971.54713, 275.666656, 399.833344, 297.166656, 392.833344, 302.166656, 395.833344, 156.666672, 402.833344, 178.166672, 408.833344, 132.166672, 399.833344
1372739971.58094, 275.083344, 399.041656, 297.083344, 393.041656, 301.083344, 396.041656, 156.083344, 402.041656, 178.083344, 409.041656, 132.083344, 400.041656
1372739971.61635, 275.666656, 398.833344, 287.166656, 390.833344, 301.166656, 394.833344, 156.666672, 402.833344, 179.166672, 409.833344, 140.166672, 403.833344
1372739971.66193, 275.666656, 398.833344, 287.166656, 390.833344, 301.166656, 394.833344, 156.666672, 402.833344, 178.166672, 408.833344, 138.166672, 400.833344
1372739971.69617, 275.500000, 398.250000, 296.000000, 393.250000, 301.000000, 395.250000, 156.500000, 402.250000, 178.000000, 409.250000, 138.000000, 405.250000
1372739971.73214, 276.666656, 398.833344, 296.166656, 392.833344, 301.166656, 394.833344, 156.666672, 402.833344, 178.166672, 407.833344, 131.166672, 399.833344
1372739971.77856, 275.500000, 398.250000, 287.000000, 391.250000, 301.000000, 395.250000, 156.500000, 402.250000, 178.000000, 409.250000, 137.000000, 401.250000
1372739971.81436, 275.666656, 398.833344, 296.166656, 392.833344, 301.166656, 394.833344, 156.666672, 402.833344, 178.166672, 408.833344, 138.166672, 405.833344
1372739971.84878, 275.833344, 399.416656, 286.333344, 391.416656, 301.333344, 396.416656, 156.833344, 403.416656, 177.333344, 409.416656, 136.333344, 401.416656
1372739971.88393, 275.666656, 399.833344, 286.166656, 390.833344, 301.166656, 395.833344, 156.666672, 403.833344, 177.166672, 408.833344, 139.166672, 403.833344
1372739971.92254, 275.666656, 399.833344, 296.166656, 392.833344, 300.166656, 395.833344, 156.666672, 403.833344, 177.166672, 409.833344, 137.166672, 401.833344
1372739971.95901, 275.666656, 399.833344, 286.166656, 390.833344, 300.166656, 395.833344, 156.666672, 403.833344, 177.166672, 408.833344, 140.166672, 400.833344
1372739971.99320, 275.833344, 399.416656, 287.333344, 391.416656, 307.333344, 398.416656, 156.833344, 403.416656, 177.333344, 410.416656, 127.333344, 402.416656
1372739972.02834, 275.666656, 399.833344, 286.166656, 391.833344, 300.166656, 395.833344, 156.666672, 403.833344, 177.166672, 409.833344, 136.166672, 401.833344
1372739972.06648, 275.666656, 399.833344, 286.166656, 390.833344, 300.166656, 395.833344, 156.666672, 403.833344, 177.166672, 408.833344, 136.166672, 403.833344
1372739972.10166, 275.083344, 399.041656, 286.083344, 391.041656, 300.083344, 396.041656, 156.083344, 403.041656, 177.083344, 410.041656, 136.083344, 406.041656
1372739972.13512, 275.666656, 399.833344, 286.166656, 391.833344, 300.166656, 395.833344, 156.666672, 403.833344, 177.166672, 409.833344, 138.166672, 403.833344
1372739972.16976, 275.666656, 399.833344, 262.166656, 396.833344, 306.166656, 397.833344, 155.666672, 403.833344, 177.166672, 409.833344, 136.166672, 405.833344
1372739972.21287, 275.666656, 399.833344, 262.166656, 396.833344, 306.166656, 397.833344, 155.666672, 403.833344, 177.166672, 409.833344, 136.166672, 405.833344
1372739972.24814, 275.833344, 399.416656, 262.333344, 397.416656, 307.333344, 399.416656, 155.833344, 403.416656, 177.333344, 411.416656, 131.333344, 400.416656
1372739972.28159, 275.666656, 399.833344, 255.166656, 405.833344, 306.166656, 397.833344, 155.666672, 403.833344, 176.166672, 409.833344, 126.166672, 401.833344
