Seconds.milliseconds since 1970,leftIrisX,leftIrisY,leftEyeHeadX,leftEyeHeadY,leftEyeBottomX,leftEyeBottomY,rightIrisX,rightIrisY,rightEyeHeadX,rightEyeHeadY,rightEyeBottomX,rightEyeBottomY
1373335053.37231, 244.333344, 332.166656, 234.333344, 328.166656, 256.333344, 324.166656, 137.333344, 334.166656, 154.333344, 339.166656, 106.333344, 339.166656
1373335053.40932, 245.750000, 331.375000, 227.250000, 337.375000, 261.250000, 324.375000, 137.750000, 334.375000, 155.250000, 340.375000, 110.250000, 332.375000
1373335053.44555, 245.333344, 331.166656, 227.333344, 337.166656, 268.333344, 325.166656, 137.333344, 334.166656, 154.333344, 337.166656, 114.333344, 330.166656
1373335053.47996, 246.000000, 331.000000, 227.000000, 337.000000, 269.000000, 325.000000, 138.000000, 334.000000, 155.000000, 339.000000, 113.000000, 331.000000
1373335053.51585, 245.166672, 332.583344, 234.166672, 327.583344, 257.166687, 323.583344, 138.166672, 334.583344, 155.166672, 337.583344, 121.166672, 332.583344
1373335053.55995, 245.166672, 332.583344, 228.166672, 336.583344, 269.166687, 324.583344, 138.166672, 334.583344, 155.166672, 338.583344, 121.166672, 331.583344
1373335053.59595, 246.333344, 331.166656, 228.333344, 337.166656, 269.333344, 325.166656, 138.333344, 334.166656, 156.333344, 340.166656, 113.333344, 331.166656
1373335053.63212, 246.333344, 332.166656, 228.333344, 338.166656, 262.333344, 323.166656, 138.333344, 334.166656, 156.333344, 340.166656, 114.333344, 331.166656
1373335053.67803, 246.750000, 332.375000, 229.250000, 337.375000, 269.250000, 325.375000, 138.750000, 334.375000, 156.250000, 340.375000, 114.250000, 331.375000
1373335053.71307, 246.166672, 332.583344, 229.166672, 336.583344, 270.166687, 324.583344, 139.166672, 334.583344, 156.166672, 338.583344, 112.166672, 331.583344
1373335053.74905, 246.333344, 332.166656, 229.333344, 337.166656, 261.333344, 326.166656, 139.333344, 334.166656, 156.333344, 340.166656, 112.333344, 332.166656
1373335053.79312, 247.666672, 332.333344, 228.166672, 337.833344, 263.166687, 331.833344, 139.666672, 334.333344, 156.166672, 337.833344, 112.166672, 331.833344
1373335053.82932, 246.333344, 332.166656, 228.333344, 338.166656, 261.333344, 327.166656, 139.333344, 334.166656, 156.333344, 340.166656, 115.333344, 330.166656
