Seconds.milliseconds since 1970,leftIrisX,leftIrisY,leftEyeHeadX,leftEyeHeadY,leftEyeBottomX,leftEyeBottomY,rightIrisX,rightIrisY,rightEyeHeadX,rightEyeHeadY,rightEyeBottomX,rightEyeBottomY
1373386520.96957, 271.000000, 387.500000, 246.000000, 394.000000, 294.000000, 383.000000, 154.000000, 391.500000, 170.000000, 397.000000, 129.000000, 396.000000
1373386521.00551, 270.000000, 387.500000, 245.000000, 394.000000, 290.000000, 381.000000, 154.000000, 391.500000, 169.000000, 397.000000, 122.000000, 388.000000
1373386521.04133, 270.833344, 387.916656, 245.333344, 394.416656, 294.333344, 382.416656, 153.833344, 391.916656, 169.333344, 397.416656, 129.333344, 390.416656
1373386521.08202, 270.583344, 387.291656, 245.083344, 394.291656, 293.083344, 382.291656, 153.583344, 391.291656, 169.083344, 397.291656, 128.083344, 397.291656
1373386521.11587, 270.583344, 387.291656, 245.083344, 394.291656, 294.083344, 382.291656, 153.583344, 391.291656, 169.083344, 397.291656, 122.083344, 391.291656
1373386521.15186, 270.000000, 387.500000, 245.000000, 394.000000, 294.000000, 383.000000, 153.000000, 391.500000, 169.000000, 398.000000, 129.000000, 389.000000
1373386521.19502, 270.333344, 387.666656, 245.333344, 394.166656, 290.333344, 382.166656, 153.333344, 391.666656, 169.333344, 397.166656, 128.333344, 396.166656
1373386521.22866, 270.000000, 387.500000, 245.000000, 394.000000, 289.000000, 381.000000, 153.000000, 391.500000, 169.000000, 398.000000, 127.000000, 396.000000
1373386521.26357, 270.166656, 387.083344, 244.166656, 394.583344, 295.166656, 382.583344, 152.166672, 391.083344, 168.166672, 396.583344, 129.166672, 388.583344
1373386521.30712, 264.583344, 387.291656, 245.083344, 394.291656, 280.083344, 380.291656, 149.583344, 390.291656, 168.083344, 396.291656, 130.083344, 390.291656
1373386521.34210, 263.583344, 387.291656, 245.083344, 394.291656, 282.083344, 380.291656, 148.583344, 390.291656, 168.083344, 396.291656, 117.083344, 394.291656
1373386521.37910, 263.166656, 387.083344, 245.166656, 393.583344, 290.166656, 380.583344, 149.166672, 390.083344, 168.166672, 394.583344, 129.166672, 391.583344
1373386521.41964, 265.833344, 386.916656, 252.333344, 384.416656, 290.333344, 380.416656, 148.833344, 389.916656, 169.333344, 396.416656, 122.333344, 388.416656
1373386521.45291, 264.000000, 387.500000, 246.000000, 395.000000, 294.000000, 382.000000, 149.000000, 390.500000, 169.000000, 396.000000, 119.000000, 393.000000
1373386521.48787, 264.833344, 387.916656, 246.333344, 395.416656, 294.333344, 382.416656, 149.833344, 390.916656, 169.333344, 396.416656, 130.333344, 392.416656
1373386521.52594, 265.833344, 387.916656, 246.333344, 395.416656, 284.333344, 379.416656, 149.833344, 390.916656, 169.333344, 396.416656, 119.333344, 393.416656
1373386521.55960, 265.833344, 387.916656, 246.333344, 395.416656, 295.333344, 382.416656, 149.833344, 390.916656, 169.333344, 396.416656, 119.333344, 393.416656
1373386521.59425, 264.583344, 387.291656, 246.083344, 395.291656, 295.083344, 382.291656, 149.583344, 390.291656, 169.083344, 396.291656, 122.083344, 388.291656
1373386521.63294, 264.000000, 387.500000, 246.000000, 394.000000, 290.000000, 381.000000, 149.000000, 390.500000, 169.000000, 396.000000, 120.000000, 389.000000
1373386521.66612, 265.833344, 387.916656, 246.333344, 394.416656, 290.333344, 381.416656, 148.833344, 390.916656, 169.333344, 396.416656, 119.333344, 393.416656
1373386521.70252, 264.000000, 387.500000, 246.000000, 394.000000, 295.000000, 382.000000, 148.000000, 390.500000, 168.000000, 395.000000, 122.000000, 388.000000
