Seconds.milliseconds since 1970,leftIrisX,leftIrisY,leftEyeHeadX,leftEyeHeadY,leftEyeBottomX,leftEyeBottomY,rightIrisX,rightIrisY,rightEyeHeadX,rightEyeHeadY,rightEyeBottomX,rightEyeBottomY
1373387554.51480, 242.000000, 395.500000, 221.000000, 404.000000, 266.000000, 389.000000, 127.000000, 401.500000, 145.000000, 407.000000, 96.000000, 405.000000
1373387554.54970, 242.000000, 395.500000, 221.000000, 403.000000, 265.000000, 389.000000, 126.000000, 401.500000, 144.000000, 407.000000, 106.000000, 404.000000
1373387554.58426, 242.833344, 395.916656, 221.333344, 404.416656, 266.333344, 389.416656, 126.833336, 401.916656, 144.333344, 407.416656, 95.333336, 405.416656
1373387554.61922, 242.833344, 395.916656, 221.333344, 404.416656, 266.333344, 389.416656, 126.833336, 402.916656, 144.333344, 407.416656, 95.333336, 406.416656
1373387554.65219, 242.000000, 395.500000, 221.000000, 404.000000, 270.000000, 391.000000, 126.000000, 402.500000, 144.000000, 407.000000, 95.000000, 406.000000
1373387554.68650, 242.000000, 395.500000, 221.000000, 404.000000, 266.000000, 389.000000, 126.000000, 402.500000, 144.000000, 407.000000, 96.000000, 405.000000
1373387554.72408, 242.166672, 395.083344, 221.166672, 403.583344, 270.166687, 390.583344, 126.166672, 402.083344, 144.166672, 406.583344, 95.166672, 401.583344
1373387554.75709, 241.000000, 395.500000, 229.000000, 393.000000, 266.000000, 390.000000, 126.000000, 402.500000, 144.000000, 407.000000, 96.000000, 405.000000
1373387554.79194, 242.333344, 395.666656, 221.333344, 404.166656, 266.333344, 390.166656, 126.333336, 402.666656, 144.333344, 407.166656, 95.333336, 406.166656
1373387554.83380, 242.166672, 395.083344, 221.166672, 403.583344, 266.166687, 389.583344, 126.166672, 402.083344, 145.166672, 406.583344, 96.166672, 404.583344
1373387554.87030, 241.333344, 396.666656, 221.333344, 404.166656, 266.333344, 389.166656, 126.333336, 402.666656, 144.333344, 407.166656, 96.333336, 405.166656
1373387554.90343, 242.166672, 395.083344, 221.166672, 403.583344, 261.166687, 389.583344, 126.166672, 402.083344, 144.166672, 406.583344, 96.166672, 404.583344
1373387554.93836, 242.166672, 395.083344, 221.166672, 403.583344, 266.166687, 388.583344, 126.166672, 402.083344, 145.166672, 406.583344, 95.166672, 405.583344
1373387554.98279, 241.166672, 396.083344, 221.166672, 403.583344, 267.166687, 389.583344, 126.166672, 402.083344, 145.166672, 406.583344, 96.166672, 404.583344
1373387555.01612, 241.166672, 396.083344, 222.166672, 402.583344, 267.166687, 389.583344, 126.166672, 402.083344, 145.166672, 406.583344, 96.166672, 404.583344
1373387555.05084, 241.000000, 396.500000, 221.000000, 404.000000, 267.000000, 390.000000, 126.000000, 402.500000, 145.000000, 407.000000, 94.000000, 403.000000
1373387555.09464, 242.000000, 395.500000, 222.000000, 403.000000, 262.000000, 390.000000, 127.000000, 402.500000, 145.000000, 407.000000, 96.000000, 406.000000
1373387555.12782, 242.000000, 395.500000, 222.000000, 404.000000, 259.000000, 388.000000, 126.000000, 402.500000, 145.000000, 407.000000, 96.000000, 406.000000
1373387555.16269, 242.333344, 396.666656, 222.333344, 404.166656, 267.333344, 390.166656, 126.333336, 402.666656, 145.333344, 407.166656, 96.333336, 406.166656
1373387555.20086, 242.166672, 396.083344, 222.166672, 403.583344, 267.166687, 389.583344, 127.166672, 402.083344, 145.166672, 406.583344, 95.166672, 402.583344
1373387555.23412, 242.000000, 396.500000, 222.000000, 404.000000, 259.000000, 388.000000, 127.000000, 402.500000, 146.000000, 407.000000, 96.000000, 406.000000
1373387555.26857, 242.166672, 396.083344, 223.166672, 402.583344, 267.166687, 388.583344, 127.166672, 402.083344, 146.166672, 406.583344, 95.166672, 402.583344
1373387555.30827, 242.166672, 396.083344, 222.166672, 403.583344, 260.166687, 387.583344, 127.166672, 402.083344, 146.166672, 406.583344, 94.166672, 402.583344
1373387555.34185, 243.333344, 396.666656, 223.333344, 404.166656, 268.333344, 390.166656, 127.333336, 402.666656, 146.333344, 407.166656, 97.333336, 406.166656
1373387555.37679, 243.333344, 395.666656, 223.333344, 404.166656, 267.333344, 389.166656, 128.333344, 402.666656, 146.333344, 406.166656, 94.333344, 402.166656
1373387555.41372, 243.166672, 395.083344, 223.166672, 402.583344, 267.166687, 388.583344, 127.166672, 401.083344, 146.166672, 406.583344, 94.166672, 402.583344
1373387555.44692, 243.000000, 395.500000, 223.000000, 403.000000, 267.000000, 389.000000, 127.000000, 401.500000, 146.000000, 407.000000, 96.000000, 406.000000
1373387555.48141, 243.000000, 395.500000, 222.000000, 404.000000, 267.000000, 389.000000, 127.000000, 401.500000, 146.000000, 407.000000, 96.000000, 406.000000
1373387555.52369, 243.166672, 395.083344, 222.166672, 403.583344, 267.166687, 388.583344, 127.166672, 402.083344, 146.166672, 406.583344, 95.166672, 402.583344
1373387555.55742, 243.333344, 395.666656, 230.333344, 393.166656, 262.333344, 390.166656, 126.333336, 401.666656, 145.333344, 407.166656, 94.333336, 403.166656
1373387555.59251, 242.000000, 395.500000, 222.000000, 404.000000, 260.000000, 388.000000, 127.000000, 402.500000, 146.000000, 407.000000, 96.000000, 406.000000
1373387555.63681, 242.833344, 395.916656, 221.333344, 404.416656, 262.333344, 390.416656, 126.833336, 401.916656, 145.333344, 407.416656, 95.333336, 403.416656
1373387555.67137, 242.166672, 395.083344, 222.166672, 403.583344, 260.166687, 389.583344, 126.166672, 401.083344, 145.166672, 406.583344, 96.166672, 405.583344
1373387555.70719, 242.166672, 395.083344, 222.166672, 402.583344, 261.166687, 387.583344, 126.166672, 401.083344, 145.166672, 406.583344, 94.166672, 402.583344
1373387555.75054, 241.000000, 395.500000, 221.000000, 404.000000, 259.000000, 387.000000, 126.000000, 401.500000, 145.000000, 407.000000, 96.000000, 405.000000
1373387555.78511, 241.000000, 395.500000, 221.000000, 403.000000, 257.000000, 387.000000, 126.000000, 401.500000, 145.000000, 407.000000, 106.000000, 404.000000
1373387555.82049, 241.000000, 395.500000, 221.000000, 403.000000, 259.000000, 390.000000, 126.000000, 401.500000, 144.000000, 406.000000, 96.000000, 405.000000
1373387555.86181, 241.000000, 395.500000, 221.000000, 403.000000, 266.000000, 389.000000, 126.000000, 401.500000, 144.000000, 407.000000, 95.000000, 405.000000
1373387555.89559, 241.166672, 395.083344, 221.166672, 402.583344, 271.166687, 389.583344, 126.166672, 402.083344, 144.166672, 405.583344, 95.166672, 405.583344
