Seconds.milliseconds since 1970,leftIrisX,leftIrisY,leftEyeHeadX,leftEyeHeadY,leftEyeBottomX,leftEyeBottomY,rightIrisX,rightIrisY,rightEyeHeadX,rightEyeHeadY,rightEyeBottomX,rightEyeBottomY
1373529730.67270, 276.666656, 274.833344, 297.166656, 274.333344, 297.166656, 274.333344, 169.666672, 285.833344, 194.166672, 287.833344, 152.166672, 290.833344
1373529730.71147, 276.250000, 274.625000, 297.250000, 274.125000, 305.250000, 278.125000, 169.250000, 285.625000, 194.250000, 288.125000, 153.250000, 291.125000
1373529730.74543, 275.333344, 275.666656, 297.333344, 274.166656, 297.333344, 274.166656, 169.333344, 285.666656, 193.833344, 288.166656, 152.833344, 288.166656
1373529730.78124, 275.833344, 276.416656, 297.333344, 274.416656, 305.333344, 278.416656, 169.833344, 285.416656, 193.833344, 288.416656, 151.833344, 291.416656
1373529730.81981, 276.500000, 274.250000, 295.000000, 272.250000, 296.000000, 275.250000, 169.500000, 285.250000, 193.000000, 288.250000, 153.000000, 291.250000
1373529730.85347, 276.833344, 274.416656, 295.333344, 272.416656, 306.333344, 278.416656, 169.833344, 285.416656, 193.833344, 288.416656, 151.833344, 291.416656
1373529730.88800, 276.083344, 273.041656, 297.083344, 274.041656, 297.083344, 274.041656, 169.083344, 285.041656, 193.583344, 288.041656, 151.583344, 288.041656
1373529730.92767, 275.333344, 278.666656, 297.333344, 274.166656, 297.333344, 274.166656, 169.333344, 285.666656, 193.833344, 288.166656, 147.833344, 287.166656
1373529730.96214, 275.083344, 279.041656, 297.083344, 274.041656, 297.083344, 274.041656, 169.083344, 285.041656, 193.583344, 288.041656, 148.583344, 286.041656
1373529730.99743, 276.416656, 273.208344, 297.416656, 274.208344, 305.416656, 277.208344, 169.416672, 285.208344, 194.416672, 287.708344, 140.416672, 294.708344
1373529731.03960, 275.833344, 280.416656, 297.333344, 274.416656, 297.333344, 274.416656, 169.833344, 285.416656, 193.833344, 287.416656, 153.833344, 288.416656
1373529731.07777, 275.166656, 279.083344, 296.166656, 271.583344, 296.166656, 271.583344, 169.166672, 285.083344, 194.166672, 287.583344, 146.166672, 296.583344
1373529731.11202, 275.333344, 277.666656, 296.333344, 272.166656, 296.333344, 272.166656, 169.333344, 285.666656, 193.833344, 287.166656, 145.833344, 297.166656
1373529731.14714, 275.916656, 277.458344, 296.416656, 271.958344, 296.416656, 271.958344, 169.916672, 285.458344, 194.416672, 286.958344, 154.416672, 287.958344
1373529731.19314, 275.916656, 276.458344, 297.416656, 273.958344, 297.416656, 273.958344, 169.916672, 285.458344, 194.416672, 287.958344, 146.416672, 296.958344
1373529731.23017, 275.083344, 277.041656, 297.083344, 274.041656, 297.083344, 274.041656, 169.083344, 286.041656, 193.583344, 287.041656, 152.583344, 287.041656
1373529731.26506, 275.000000, 278.500000, 297.000000, 274.000000, 297.000000, 274.000000, 169.000000, 285.500000, 194.000000, 287.000000, 146.000000, 297.000000
1373529731.29992, 276.083344, 274.041656, 297.083344, 273.041656, 297.083344, 273.041656, 169.083344, 285.041656, 193.583344, 287.041656, 155.583344, 284.041656
1373529731.34395, 275.083344, 279.041656, 297.083344, 273.041656, 297.083344, 273.041656, 170.083344, 284.041656, 193.583344, 287.041656, 147.583344, 296.041656
1373529731.37867, 276.750000, 276.875000, 296.250000, 272.375000, 296.250000, 272.375000, 169.750000, 285.875000, 194.250000, 287.375000, 149.250000, 286.375000
1373529731.41174, 276.333344, 277.666656, 296.333344, 272.166656, 296.333344, 272.166656, 169.333344, 287.666656, 193.833344, 287.166656, 148.833344, 286.166656
1373529731.44635, 276.916656, 275.458344, 296.416656, 271.958344, 296.416656, 271.958344, 170.916672, 284.458344, 194.416672, 286.958344, 153.416672, 289.958344
1373529731.48402, 276.166656, 279.083344, 296.166656, 270.583344, 296.166656, 270.583344, 169.166672, 287.083344, 195.166672, 286.583344, 149.166672, 285.583344
1373529731.51968, 276.583344, 281.291656, 296.083344, 271.291656, 296.083344, 271.291656, 170.583344, 288.291656, 193.583344, 287.291656, 153.583344, 288.291656
1373529731.55272, 276.166656, 279.083344, 296.166656, 270.583344, 297.166656, 273.583344, 170.166672, 287.083344, 194.166672, 286.583344, 149.166672, 285.583344
1373529731.58776, 276.583344, 280.291656, 297.083344, 274.291656, 297.083344, 274.291656, 170.583344, 285.291656, 194.583344, 287.291656, 148.583344, 286.291656
1373529731.62589, 276.333344, 279.666656, 297.333344, 274.166656, 297.333344, 274.166656, 170.333344, 287.666656, 193.833344, 287.166656, 154.833344, 288.166656
1373529731.66083, 276.166656, 279.083344, 297.166656, 271.583344, 297.166656, 271.583344, 170.166672, 285.083344, 195.166672, 286.583344, 149.166672, 285.583344
1373529731.69431, 277.333344, 276.666656, 296.333344, 271.166656, 297.333344, 274.166656, 170.333344, 286.666656, 193.833344, 287.166656, 153.833344, 288.166656
1373529731.72942, 277.166656, 279.083344, 296.166656, 270.583344, 297.166656, 273.583344, 170.166672, 285.083344, 194.166672, 286.583344, 153.166672, 289.583344
1373529731.77066, 278.333344, 276.666656, 296.333344, 271.166656, 297.333344, 274.166656, 171.333344, 284.666656, 193.833344, 287.166656, 152.833344, 290.166656
1373529731.80684, 277.333344, 276.666656, 296.333344, 271.166656, 297.333344, 274.166656, 171.333344, 284.666656, 193.833344, 287.166656, 153.833344, 288.166656
1373529731.84058, 277.333344, 276.666656, 296.333344, 271.166656, 297.333344, 274.166656, 171.333344, 284.666656, 193.833344, 287.166656, 147.833344, 286.166656
1373529731.87569, 277.333344, 279.666656, 296.333344, 271.166656, 296.333344, 271.166656, 171.333344, 285.666656, 193.833344, 287.166656, 147.833344, 286.166656
1373529731.91964, 277.000000, 280.500000, 296.000000, 271.000000, 296.000000, 271.000000, 171.000000, 284.500000, 194.000000, 287.000000, 148.000000, 286.000000
1373529731.95659, 277.166656, 279.083344, 296.166656, 270.583344, 296.166656, 270.583344, 171.166672, 285.083344, 194.166672, 286.583344, 154.166672, 287.583344
1373529731.99022, 278.750000, 277.875000, 296.250000, 271.375000, 296.250000, 271.375000, 171.750000, 288.875000, 194.250000, 287.375000, 146.250000, 296.375000
1373529732.02592, 277.416656, 279.708344, 295.416656, 270.708344, 297.416656, 273.708344, 171.416672, 286.708344, 194.416672, 286.708344, 148.416672, 285.708344
1373529732.07008, 277.166656, 280.083344, 288.166656, 273.583344, 296.166656, 273.583344, 171.166672, 284.083344, 193.166672, 286.583344, 152.166672, 289.583344
1373529732.10601, 277.916656, 279.458344, 294.416656, 271.958344, 305.416656, 276.958344, 170.916672, 286.458344, 193.416672, 287.958344, 147.416672, 286.958344
1373529732.13931, 278.500000, 277.250000, 288.000000, 272.250000, 305.000000, 278.250000, 171.500000, 285.250000, 193.000000, 288.250000, 152.000000, 289.250000
1373529732.17453, 278.083344, 273.041656, 294.083344, 275.041656, 304.083344, 277.041656, 170.083344, 286.041656, 191.583344, 288.041656, 146.583344, 287.041656
1373529732.21207, 278.750000, 273.875000, 294.250000, 275.375000, 304.250000, 277.375000, 170.750000, 285.875000, 192.250000, 288.375000, 150.250000, 291.375000
1373529732.24702, 278.000000, 273.000000, 294.000000, 275.000000, 304.000000, 277.000000, 170.000000, 285.000000, 192.000000, 288.000000, 146.000000, 287.000000
1373529732.28083, 277.916656, 282.458344, 293.416656, 271.958344, 303.416656, 276.958344, 170.916672, 287.458344, 192.416672, 287.958344, 146.416672, 294.958344
1373529732.31549, 277.333344, 283.666656, 289.333344, 270.166656, 303.333344, 277.166656, 169.333344, 287.666656, 190.833344, 288.166656, 150.833344, 289.166656
1373529732.35367, 277.916656, 283.458344, 289.416656, 269.958344, 303.416656, 276.958344, 170.916672, 286.458344, 191.416672, 287.958344, 145.416672, 286.958344
1373529732.38831, 278.416656, 277.708344, 289.416656, 269.708344, 303.416656, 276.708344, 170.416672, 285.708344, 191.416672, 287.708344, 149.416672, 290.708344
1373529732.42208, 278.250000, 274.625000, 289.250000, 270.125000, 303.250000, 277.125000, 170.250000, 285.625000, 191.250000, 288.125000, 145.250000, 287.125000
