Seconds.milliseconds since 1970,leftIrisX,leftIrisY,leftEyeHeadX,leftEyeHeadY,leftEyeBottomX,leftEyeBottomY,rightIrisX,rightIrisY,rightEyeHeadX,rightEyeHeadY,rightEyeBottomX,rightEyeBottomY
1373529786.61758, 273.416656, 277.708344, 293.416656, 276.708344, 293.416656, 276.708344, 167.416672, 289.708344, 191.416672, 291.708344, 151.416672, 294.708344
1373529786.65315, 272.416656, 280.708344, 293.416656, 276.708344, 293.416656, 276.708344, 167.416672, 289.708344, 191.416672, 291.708344, 151.416672, 294.708344
1373529786.68443, 272.416656, 278.708344, 293.416656, 276.708344, 293.416656, 276.708344, 167.416672, 289.708344, 191.416672, 291.708344, 148.416672, 289.708344
1373529786.71902, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
1373529786.75610, 273.583344, 277.291656, 294.083344, 277.291656, 294.083344, 277.291656, 168.583344, 289.291656, 191.583344, 292.291656, 147.583344, 290.291656
1373529786.78918, 272.750000, 278.875000, 294.250000, 277.375000, 294.250000, 277.375000, 168.750000, 289.875000, 192.250000, 292.375000, 152.250000, 295.375000
1373529786.82414, 272.416656, 281.708344, 294.416656, 276.708344, 294.416656, 276.708344, 168.416672, 289.708344, 192.416672, 290.708344, 148.416672, 289.708344
1373529786.86826, 272.666656, 282.833344, 294.166656, 276.833344, 294.166656, 276.833344, 168.666672, 289.833344, 192.166672, 290.833344, 148.166672, 289.833344
1373529786.90570, 272.916656, 279.458344, 294.416656, 276.958344, 294.416656, 276.958344, 168.916672, 289.458344, 192.416672, 290.958344, 152.416672, 290.958344
1373529786.93906, 272.916656, 279.458344, 293.416656, 276.958344, 293.416656, 276.958344, 168.916672, 289.458344, 192.416672, 290.958344, 152.416672, 293.958344
1373529786.97401, 273.333344, 276.666656, 293.333344, 277.166656, 293.333344, 277.166656, 167.333344, 289.666656, 190.833344, 292.166656, 150.833344, 294.166656
1373529787.01614, 272.916656, 280.458344, 293.416656, 276.958344, 293.416656, 276.958344, 168.916672, 288.458344, 191.416672, 291.958344, 151.416672, 290.958344
1373529787.05489, 273.916656, 276.458344, 293.416656, 276.958344, 293.416656, 276.958344, 167.916672, 289.458344, 191.416672, 290.958344, 151.416672, 293.958344
1373529787.08949, 271.750000, 279.875000, 292.250000, 277.375000, 292.250000, 277.375000, 167.750000, 288.875000, 191.250000, 290.375000, 151.250000, 294.375000
1373529787.12449, 271.916656, 278.458344, 292.416656, 276.958344, 292.416656, 276.958344, 167.916672, 288.458344, 190.416672, 290.958344, 147.416672, 289.958344
1373529787.16608, 271.750000, 278.875000, 291.250000, 275.375000, 291.250000, 275.375000, 167.750000, 289.875000, 190.250000, 291.375000, 147.250000, 290.375000
1373529787.20180, 271.750000, 279.875000, 292.250000, 277.375000, 292.250000, 277.375000, 166.750000, 290.875000, 190.250000, 292.375000, 150.250000, 295.375000
1373529787.23585, 271.416656, 280.208344, 292.416656, 276.708344, 292.416656, 276.708344, 166.416672, 289.208344, 190.416672, 291.708344, 138.416672, 298.708344
1373529787.27077, 270.083344, 282.041656, 291.083344, 276.041656, 291.083344, 276.041656, 166.083344, 289.041656, 189.583344, 292.041656, 149.583344, 295.041656
1373529787.30857, 271.833344, 278.416656, 291.333344, 276.416656, 291.333344, 276.416656, 166.833344, 289.416656, 190.333344, 292.416656, 138.333344, 299.416656
1373529787.34420, 271.250000, 279.625000, 292.250000, 276.125000, 292.250000, 276.125000, 167.250000, 296.625000, 190.250000, 291.125000, 138.250000, 299.125000
1373529787.37786, 272.750000, 276.875000, 292.250000, 276.375000, 292.250000, 276.375000, 166.750000, 290.875000, 190.250000, 291.375000, 150.250000, 294.375000
1373529787.41250, 271.750000, 279.875000, 292.250000, 276.375000, 292.250000, 276.375000, 167.750000, 294.875000, 190.250000, 291.375000, 150.250000, 294.375000
1373529787.45308, 273.416656, 276.708344, 292.416656, 275.708344, 292.416656, 275.708344, 167.416672, 288.708344, 190.416672, 290.708344, 146.416672, 289.708344
1373529787.48959, 271.083344, 280.041656, 293.083344, 276.041656, 293.083344, 276.041656, 167.083344, 291.041656, 189.583344, 291.041656, 149.583344, 294.041656
1373529787.52248, 273.583344, 277.291656, 292.083344, 276.291656, 292.083344, 276.291656, 167.583344, 290.291656, 189.583344, 291.291656, 149.583344, 294.291656
