Seconds.milliseconds since 1970,leftIrisX,leftIrisY,leftEyeHeadX,leftEyeHeadY,leftEyeBottomX,leftEyeBottomY,rightIrisX,rightIrisY,rightEyeHeadX,rightEyeHeadY,rightEyeBottomX,rightEyeBottomY
1373542968.37172, 250.500000, 317.750000, 228.000000, 324.250000, 272.000000, 320.250000, 143.500000, 313.750000, 163.000000, 322.250000, 119.000000, 314.250000
1373542968.40689, 250.916672, 317.958344, 228.416672, 323.958344, 277.416687, 324.958344, 143.916672, 313.958344, 164.416672, 320.958344, 120.416672, 313.958344
1373542968.44249, 250.500000, 317.750000, 228.000000, 324.250000, 277.000000, 325.250000, 143.500000, 313.750000, 163.000000, 321.250000, 119.000000, 314.250000
1373542968.48186, 250.666672, 317.333344, 229.166672, 323.833344, 272.166687, 319.833344, 143.666672, 313.333344, 164.166672, 320.833344, 118.166672, 313.833344
1373542968.51592, 250.500000, 318.750000, 228.000000, 323.250000, 272.000000, 320.250000, 143.500000, 313.750000, 164.000000, 321.250000, 119.000000, 314.250000
1373542968.55116, 251.916672, 318.958344, 229.416672, 323.958344, 273.416687, 319.958344, 144.916672, 313.958344, 164.416672, 321.958344, 119.416672, 313.958344
1373542968.58956, 251.666672, 317.333344, 229.166672, 323.833344, 273.166687, 319.833344, 144.666672, 313.333344, 165.166672, 316.833344, 121.166672, 312.833344
1373542968.62300, 251.666672, 318.333344, 229.166672, 324.833344, 278.166687, 324.833344, 144.666672, 313.333344, 154.166672, 308.833344, 120.166672, 313.833344
1373542968.65811, 251.833344, 318.916656, 229.333344, 324.416656, 266.333344, 317.416656, 144.833344, 313.916656, 164.333344, 322.416656, 119.333344, 314.416656
1373542968.69716, 251.916672, 318.958344, 229.416672, 324.958344, 278.416687, 323.958344, 143.916672, 313.958344, 164.416672, 320.958344, 119.416672, 313.958344
1373542968.73111, 251.750000, 317.375000, 229.250000, 324.375000, 273.250000, 320.375000, 144.750000, 313.375000, 164.250000, 322.375000, 119.250000, 314.375000
1373542968.76713, 251.166672, 317.583344, 229.166672, 324.583344, 278.166687, 324.583344, 143.166672, 313.583344, 164.166672, 320.583344, 127.166672, 314.583344
1373542968.80572, 251.083344, 317.541656, 228.083344, 324.041656, 277.083344, 325.041656, 143.083344, 313.541656, 164.083344, 321.041656, 125.083344, 314.041656
1373542968.84455, 250.500000, 317.750000, 228.000000, 325.250000, 277.000000, 325.250000, 143.500000, 313.750000, 163.000000, 321.250000, 121.000000, 313.250000
1373542968.87940, 250.333344, 317.166656, 228.333344, 324.166656, 277.333344, 324.166656, 143.333344, 312.166656, 164.333344, 320.166656, 120.333344, 313.166656
1373542968.91460, 250.333344, 317.166656, 229.333344, 325.166656, 277.333344, 324.166656, 143.333344, 312.166656, 163.333344, 321.166656, 118.333344, 314.166656
1373542968.95745, 250.750000, 317.375000, 228.250000, 324.375000, 277.250000, 324.375000, 143.750000, 312.375000, 163.250000, 321.375000, 119.250000, 313.375000
1373542968.99601, 250.500000, 317.750000, 228.000000, 324.250000, 277.000000, 325.250000, 143.500000, 312.750000, 164.000000, 320.250000, 126.000000, 314.250000
1373542969.02976, 250.916672, 317.958344, 228.416672, 323.958344, 277.416687, 324.958344, 143.916672, 313.958344, 163.416672, 320.958344, 120.416672, 312.958344
1373542969.06453, 250.083344, 318.541656, 228.083344, 324.041656, 276.083344, 324.041656, 144.083344, 313.541656, 164.083344, 320.041656, 119.083344, 314.041656
1373542969.10825, 251.916672, 318.958344, 228.416672, 323.958344, 276.416687, 324.958344, 144.916672, 313.958344, 164.416672, 319.958344, 119.416672, 312.958344
1373542969.14526, 251.666672, 318.333344, 228.166672, 323.833344, 278.166687, 324.833344, 144.666672, 313.333344, 164.166672, 319.833344, 124.166672, 314.833344
1373542969.17896, 251.333344, 318.166656, 229.333344, 325.166656, 277.333344, 325.166656, 144.333344, 313.166656, 164.333344, 320.166656, 125.333344, 314.166656
1373542969.21353, 252.500000, 318.750000, 229.000000, 324.250000, 278.000000, 319.250000, 144.500000, 313.750000, 164.000000, 320.250000, 120.000000, 313.250000
1373542969.25412, 252.666672, 318.333344, 229.166672, 324.833344, 272.166687, 320.833344, 145.666672, 313.333344, 165.166672, 319.833344, 121.166672, 312.833344
1373542969.28899, 253.333344, 319.166656, 230.333344, 325.166656, 279.333344, 326.166656, 145.333344, 313.166656, 165.333344, 321.166656, 120.333344, 314.166656
1373542969.32205, 253.333344, 319.166656, 230.333344, 325.166656, 279.333344, 326.166656, 146.333344, 313.166656, 166.333344, 321.166656, 122.333344, 313.166656
1373542969.35650, 254.083344, 319.541656, 232.083344, 326.041656, 280.083344, 326.041656, 147.083344, 313.541656, 167.083344, 321.041656, 122.083344, 314.041656
1373542969.39493, 255.333344, 319.166656, 233.333344, 326.166656, 286.333344, 324.166656, 148.333344, 314.166656, 168.333344, 321.166656, 128.333344, 315.166656
