Seconds.milliseconds since 1970,leftIrisX,leftIrisY,leftEyeHeadX,leftEyeHeadY,leftEyeBottomX,leftEyeBottomY,rightIrisX,rightIrisY,rightEyeHeadX,rightEyeHeadY,rightEyeBottomX,rightEyeBottomY
1373960415.96774, 248.333344, 435.166656, 229.333344, 442.166656, 276.333344, 430.166656, 124.333336, 441.166656, 145.333344, 444.166656, 105.333336, 440.166656
1373960415.99891, 245.000000, 439.000000, 235.000000, 433.000000, 275.000000, 427.000000, 124.000000, 441.000000, 146.000000, 447.000000, 104.000000, 443.000000
1373960416.03829, 246.333344, 439.166656, 235.333344, 433.166656, 275.333344, 427.166656, 124.333336, 441.166656, 146.333344, 447.166656, 105.333336, 439.166656
1373960416.07543, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
1373960416.10849, 247.000000, 436.000000, 229.000000, 442.000000, 275.000000, 427.000000, 124.000000, 441.000000, 146.000000, 447.000000, 107.000000, 437.000000
1373960416.14287, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
1373960416.18150, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
1373960416.21690, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
1373960416.25053, 247.000000, 436.000000, 235.000000, 433.000000, 275.000000, 427.000000, 124.000000, 440.000000, 145.000000, 443.000000, 108.000000, 451.000000
1373960416.28611, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
1373960416.32420, 246.666672, 437.833344, 229.166672, 441.833344, 275.166687, 426.833344, 124.666672, 440.833344, 146.166672, 446.833344, 107.166672, 437.833344
1373960416.35897, 246.833344, 438.416656, 236.333344, 433.416656, 275.333344, 427.416656, 124.833336, 440.416656, 145.333344, 443.416656, 105.333336, 439.416656
1373960416.39221, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
1373960416.42691, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
1373960416.46917, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
1373960416.50549, 249.000000, 436.000000, 230.000000, 443.000000, 272.000000, 434.000000, 125.000000, 441.000000, 146.000000, 445.000000, 95.000000, 439.000000
1373960416.53859, 250.333344, 435.166656, 236.333344, 434.166656, 272.333344, 434.166656, 125.333336, 441.166656, 146.333344, 444.166656, 106.333336, 440.166656
1373960416.57323, 247.000000, 438.000000, 236.000000, 434.000000, 267.000000, 427.000000, 125.000000, 441.000000, 147.000000, 448.000000, 95.000000, 439.000000
1373960416.61992, 249.000000, 436.000000, 237.000000, 432.000000, 272.000000, 434.000000, 125.000000, 441.000000, 147.000000, 448.000000, 103.000000, 446.000000
1373960416.65672, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
1373960416.68971, 249.333344, 435.166656, 237.333344, 433.166656, 276.333344, 427.166656, 125.333336, 441.166656, 147.333344, 448.166656, 103.333336, 446.166656
