Seconds.milliseconds since 1970,leftIrisX,leftIrisY,leftEyeHeadX,leftEyeHeadY,leftEyeBottomX,leftEyeBottomY,rightIrisX,rightIrisY,rightEyeHeadX,rightEyeHeadY,rightEyeBottomX,rightEyeBottomY
1373960255.98115, 258.916656, 420.958344, 239.416656, 425.958344, 284.416656, 413.958344, 140.916672, 426.958344, 150.416672, 420.958344, 121.416672, 434.958344
1373960256.02212, 259.916656, 420.958344, 239.416656, 426.958344, 276.416656, 411.958344, 140.916672, 426.958344, 161.416672, 431.958344, 111.416672, 425.958344
1373960256.05648, 258.750000, 420.375000, 239.250000, 427.375000, 285.250000, 414.375000, 140.750000, 426.375000, 151.250000, 421.375000, 113.250000, 425.375000
1373960256.09118, 258.083344, 420.541656, 239.083344, 427.041656, 284.083344, 413.041656, 140.083344, 426.541656, 161.083344, 433.041656, 111.083344, 426.041656
1373960256.13324, 259.750000, 420.375000, 239.250000, 427.375000, 283.250000, 413.375000, 140.750000, 426.375000, 160.250000, 429.375000, 111.250000, 426.375000
1373960256.16605, 258.500000, 420.750000, 239.000000, 427.250000, 275.000000, 412.250000, 140.500000, 426.750000, 161.000000, 433.250000, 122.000000, 434.250000
1373960256.20013, 259.500000, 420.750000, 239.000000, 427.250000, 284.000000, 416.250000, 140.500000, 426.750000, 161.000000, 433.250000, 111.000000, 426.250000
1373960256.24432, 259.750000, 420.375000, 239.250000, 428.375000, 284.250000, 413.375000, 140.750000, 426.375000, 160.250000, 431.375000, 113.250000, 425.375000
1373960256.27761, 259.083344, 420.541656, 239.083344, 427.041656, 289.083344, 415.041656, 140.083344, 426.541656, 161.083344, 432.041656, 121.083344, 429.041656
1373960256.31249, 259.083344, 420.541656, 239.083344, 427.041656, 284.083344, 414.041656, 140.083344, 426.541656, 151.083344, 421.041656, 121.083344, 430.041656
1373960256.35506, 259.583344, 420.791656, 239.083344, 428.291656, 285.083344, 417.291656, 140.583344, 426.791656, 161.083344, 433.291656, 111.083344, 426.291656
1373960256.39223, 259.916656, 420.958344, 239.416656, 427.958344, 279.416656, 412.958344, 140.916672, 426.958344, 161.416672, 432.958344, 112.416672, 425.958344
1373960256.42558, 258.916656, 421.958344, 239.416656, 427.958344, 285.416656, 416.958344, 140.916672, 426.958344, 161.416672, 432.958344, 112.416672, 425.958344
1373960256.46057, 258.500000, 421.750000, 239.000000, 428.250000, 284.000000, 414.250000, 140.500000, 426.750000, 161.000000, 434.250000, 122.000000, 434.250000
1373960256.49841, 258.666656, 421.333344, 239.166656, 428.833344, 285.166656, 413.833344, 140.666672, 426.333344, 161.166672, 431.833344, 121.166672, 429.833344
1373960256.53141, 258.333344, 421.166656, 239.333344, 428.166656, 284.333344, 414.166656, 140.333344, 427.166656, 160.333344, 431.166656, 112.333344, 426.166656
1373960256.56567, 258.833344, 421.916656, 239.333344, 428.416656, 284.333344, 414.416656, 140.833344, 427.916656, 160.333344, 432.416656, 110.333344, 427.416656
1373960256.60699, 258.916656, 421.958344, 239.416656, 426.958344, 284.416656, 413.958344, 140.916672, 427.958344, 160.416672, 432.958344, 110.416672, 426.958344
1373960256.64078, 258.916656, 421.958344, 238.416656, 428.958344, 277.416656, 414.958344, 140.916672, 427.958344, 160.416672, 432.958344, 111.416672, 426.958344
