Seconds.milliseconds since 1970,leftIrisX,leftIrisY,leftEyeHeadX,leftEyeHeadY,leftEyeBottomX,leftEyeBottomY,rightIrisX,rightIrisY,rightEyeHeadX,rightEyeHeadY,rightEyeBottomX,rightEyeBottomY
1373362027.58528, 262.833344, 412.916656, 249.333344, 411.416656, 284.333344, 404.416656, 141.833344, 419.916656, 163.333344, 425.416656, 125.333344, 420.416656
1373362027.61972, 261.000000, 412.500000, 241.000000, 424.000000, 287.000000, 404.000000, 141.000000, 419.500000, 162.000000, 424.000000, 125.000000, 419.000000
1373362027.65828, 261.166656, 412.083344, 242.166656, 420.583344, 287.166656, 403.583344, 141.166672, 419.083344, 162.166672, 423.583344, 122.166672, 421.583344
1373362027.69196, 261.166656, 412.083344, 248.166656, 409.583344, 287.166656, 403.583344, 141.166672, 419.083344, 162.166672, 423.583344, 120.166672, 420.583344
1373362027.72745, 261.000000, 412.500000, 242.000000, 420.000000, 285.000000, 404.000000, 140.000000, 419.500000, 162.000000, 424.000000, 127.000000, 412.000000
1373362027.76477, 260.583344, 412.291656, 242.083344, 420.291656, 281.083344, 404.291656, 140.583344, 419.291656, 161.083344, 424.291656, 121.083344, 422.291656
1373362027.79773, 260.166656, 412.083344, 248.166656, 409.583344, 278.166656, 402.583344, 140.166672, 419.083344, 161.166672, 423.583344, 121.166672, 421.583344
1373362027.83175, 260.166656, 412.083344, 248.166656, 410.583344, 271.166656, 403.583344, 140.166672, 419.083344, 161.166672, 423.583344, 121.166672, 421.583344
1373362027.86943, 261.166656, 412.083344, 248.166656, 410.583344, 272.166656, 403.583344, 140.166672, 419.083344, 162.166672, 424.583344, 124.166672, 418.583344
1373362027.90171, 261.166656, 412.083344, 241.166656, 422.583344, 285.166656, 403.583344, 140.166672, 419.083344, 162.166672, 423.583344, 153.166672, 414.583344
1373362027.93516, 261.166656, 412.083344, 242.166656, 419.583344, 285.166656, 403.583344, 141.166672, 419.083344, 162.166672, 423.583344, 128.166672, 411.583344
1373362027.97207, 261.166656, 412.083344, 248.166656, 410.583344, 279.166656, 402.583344, 141.166672, 419.083344, 162.166672, 423.583344, 128.166672, 411.583344
1373362028.00431, 261.000000, 412.500000, 242.000000, 420.000000, 283.000000, 403.000000, 141.000000, 419.500000, 162.000000, 424.000000, 120.000000, 421.000000
1373362028.03824, 261.583344, 412.291656, 242.083344, 421.291656, 279.083344, 403.291656, 141.583344, 419.291656, 162.083344, 424.291656, 128.083344, 412.291656
1373362028.07843, 261.833344, 412.916656, 242.333344, 420.416656, 287.333344, 404.416656, 141.833344, 419.916656, 162.333344, 424.416656, 122.333344, 422.416656
1373362028.11330, 261.416656, 412.708344, 242.416656, 419.708344, 287.416656, 403.708344, 141.416672, 419.708344, 162.416672, 423.708344, 129.416672, 411.708344
1373362028.14937, 261.416656, 412.708344, 248.416656, 409.708344, 279.416656, 402.708344, 141.416672, 419.708344, 162.416672, 423.708344, 128.416672, 411.708344
1373362028.19511, 261.583344, 412.291656, 249.083344, 410.291656, 287.083344, 404.291656, 141.583344, 419.291656, 162.083344, 424.291656, 122.083344, 422.291656
1373362028.22917, 261.250000, 412.125000, 241.250000, 423.125000, 287.250000, 404.125000, 141.250000, 419.125000, 162.250000, 424.125000, 122.250000, 422.125000
1373362028.26255, 261.833344, 412.916656, 242.333344, 420.416656, 287.333344, 404.416656, 141.833344, 419.916656, 162.333344, 424.416656, 122.333344, 422.416656
1373362028.30315, 262.000000, 411.500000, 242.000000, 420.000000, 279.000000, 403.000000, 141.000000, 419.500000, 162.000000, 424.000000, 122.000000, 422.000000
