Seconds.milliseconds since 1970,leftIrisX,leftIrisY,leftEyeHeadX,leftEyeHeadY,leftEyeBottomX,leftEyeBottomY,rightIrisX,rightIrisY,rightEyeHeadX,rightEyeHeadY,rightEyeBottomX,rightEyeBottomY
1373386855.18136, 255.666672, 344.333344, 234.166672, 350.833344, 284.166687, 338.833344, 144.666672, 348.333344, 160.166672, 354.833344, 112.166672, 349.833344
1373386855.22275, 254.166672, 343.083344, 244.166672, 337.583344, 282.166687, 337.583344, 143.166672, 347.083344, 159.166672, 352.583344, 111.166672, 348.583344
1373386855.25713, 255.666672, 342.333344, 233.166672, 349.833344, 278.166687, 335.833344, 142.666672, 346.333344, 159.166672, 351.833344, 112.166672, 347.833344
1373386855.29221, 255.833344, 342.916656, 244.333344, 338.416656, 278.333344, 336.416656, 142.833344, 346.916656, 159.333344, 352.416656, 112.333344, 348.416656
1373386855.33571, 257.833344, 342.916656, 235.333344, 349.416656, 283.333344, 337.416656, 144.833344, 346.916656, 160.333344, 352.416656, 112.333344, 349.416656
1373386855.37164, 258.833344, 342.916656, 235.333344, 350.416656, 279.333344, 336.416656, 144.833344, 346.916656, 161.333344, 353.416656, 113.333344, 349.416656
1373386855.40444, 257.250000, 342.125000, 235.250000, 349.125000, 280.250000, 336.125000, 145.250000, 346.125000, 161.250000, 352.125000, 113.250000, 349.125000
1373386855.43874, 255.833344, 342.916656, 235.333344, 350.416656, 284.333344, 338.416656, 144.833344, 346.916656, 161.333344, 351.416656, 112.333344, 349.416656
1373386855.48036, 253.000000, 342.500000, 235.000000, 349.000000, 279.000000, 336.000000, 142.000000, 345.500000, 160.000000, 351.000000, 113.000000, 349.000000
1373386855.51688, 253.000000, 342.500000, 242.000000, 339.000000, 272.000000, 334.000000, 142.000000, 345.500000, 160.000000, 351.000000, 113.000000, 348.000000
1373386855.54981, 254.833344, 342.916656, 235.333344, 349.416656, 279.333344, 336.416656, 143.833344, 345.916656, 161.333344, 351.416656, 113.333344, 349.416656
1373386855.58415, 255.833344, 342.916656, 236.333344, 349.416656, 279.333344, 336.416656, 142.833344, 345.916656, 161.333344, 351.416656, 123.333344, 351.416656
1373386855.62464, 255.833344, 342.916656, 236.333344, 350.416656, 280.333344, 336.416656, 143.833344, 345.916656, 162.333344, 351.416656, 114.333344, 348.416656
1373386855.65932, 255.666672, 342.333344, 236.166672, 349.833344, 280.166687, 335.833344, 144.666672, 346.333344, 162.166672, 351.833344, 113.166672, 349.833344
1373386855.69257, 255.666672, 342.333344, 236.166672, 349.833344, 280.166687, 335.833344, 143.666672, 346.333344, 161.166672, 350.833344, 111.166672, 346.833344
1373386855.72687, 255.250000, 342.125000, 235.250000, 349.125000, 284.250000, 337.125000, 142.250000, 345.125000, 161.250000, 352.125000, 113.250000, 349.125000
1373386855.76441, 255.833344, 342.916656, 235.333344, 350.416656, 280.333344, 336.416656, 142.833344, 345.916656, 161.333344, 351.416656, 113.333344, 349.416656
1373386855.79891, 255.000000, 342.500000, 236.000000, 348.000000, 281.000000, 336.000000, 143.000000, 345.500000, 161.000000, 351.000000, 115.000000, 345.000000
1373386855.83178, 254.250000, 342.125000, 243.250000, 339.125000, 273.250000, 334.125000, 142.250000, 345.125000, 161.250000, 351.125000, 113.250000, 349.125000
1373386855.86605, 254.666672, 342.333344, 235.166672, 348.833344, 272.166687, 333.833344, 142.666672, 345.333344, 161.166672, 350.833344, 112.166672, 348.833344
1373386855.90667, 253.583344, 342.291656, 234.083344, 349.291656, 274.083344, 336.291656, 142.583344, 345.291656, 160.083344, 351.291656, 112.083344, 348.291656
1373386855.94334, 253.000000, 342.500000, 234.000000, 349.000000, 283.000000, 337.000000, 141.000000, 345.500000, 159.000000, 351.000000, 115.000000, 344.000000
1373386855.97617, 254.166672, 341.083344, 234.166672, 348.583344, 271.166687, 333.583344, 140.166672, 345.083344, 159.166672, 349.583344, 111.166672, 348.583344
1373386856.01060, 253.000000, 341.500000, 234.000000, 349.000000, 278.000000, 336.000000, 141.000000, 345.500000, 159.000000, 351.000000, 111.000000, 348.000000
1373386856.05204, 253.000000, 341.500000, 233.000000, 348.000000, 270.000000, 334.000000, 140.000000, 345.500000, 159.000000, 351.000000, 112.000000, 348.000000
1373386856.09130, 253.833344, 341.916656, 233.333344, 349.416656, 277.333344, 335.416656, 140.833344, 345.916656, 158.333344, 350.416656, 120.333344, 347.416656
1373386856.12448, 252.833344, 341.916656, 233.333344, 348.416656, 277.333344, 335.416656, 140.833344, 345.916656, 158.333344, 351.416656, 110.333344, 345.416656
1373386856.15882, 252.833344, 341.916656, 232.333344, 349.416656, 277.333344, 336.416656, 139.833344, 345.916656, 157.333344, 351.416656, 119.333344, 351.416656
1373386856.19980, 251.666672, 341.333344, 232.166672, 347.833344, 281.166687, 336.833344, 139.666672, 345.333344, 157.166672, 350.833344, 120.166672, 347.833344
1373386856.23750, 251.000000, 341.500000, 232.000000, 348.000000, 275.000000, 335.000000, 138.000000, 345.500000, 157.000000, 351.000000, 120.000000, 348.000000
1373386856.27250, 251.166672, 341.083344, 231.166672, 347.583344, 275.166687, 334.583344, 139.166672, 345.083344, 157.166672, 350.583344, 109.166672, 348.583344
1373386856.30820, 251.000000, 341.500000, 260.000000, 343.000000, 276.000000, 335.000000, 139.000000, 345.500000, 157.000000, 351.000000, 111.000000, 344.000000
1373386856.35057, 250.250000, 341.125000, 231.250000, 348.125000, 270.250000, 334.125000, 139.250000, 345.125000, 156.250000, 351.125000, 109.250000, 349.125000
1373386856.38999, 250.250000, 341.125000, 231.250000, 348.125000, 270.250000, 334.125000, 138.250000, 345.125000, 156.250000, 351.125000, 109.250000, 348.125000
1373386856.42556, 250.833344, 341.916656, 231.333344, 348.416656, 279.333344, 336.416656, 138.833344, 345.916656, 156.333344, 351.416656, 108.333344, 345.416656
1373386856.46076, 250.666672, 341.333344, 231.166672, 347.833344, 275.166687, 333.833344, 138.666672, 345.333344, 156.166672, 350.833344, 111.166672, 350.833344
1373386856.49912, 250.666672, 341.333344, 230.166672, 348.833344, 279.166687, 335.833344, 138.666672, 345.333344, 156.166672, 350.833344, 109.166672, 347.833344
1373386856.53482, 250.666672, 341.333344, 230.166672, 348.833344, 274.166687, 334.833344, 138.666672, 345.333344, 156.166672, 350.833344, 108.166672, 348.833344
1373386856.56935, 250.666672, 341.333344, 230.166672, 348.833344, 274.166687, 334.833344, 138.666672, 345.333344, 156.166672, 350.833344, 111.166672, 343.833344
1373386856.60589, 250.833344, 341.916656, 230.333344, 349.416656, 274.333344, 335.416656, 138.833344, 345.916656, 156.333344, 351.416656, 107.333344, 349.416656
1373386856.64670, 250.833344, 341.916656, 230.333344, 348.416656, 274.333344, 335.416656, 138.833344, 345.916656, 155.333344, 351.416656, 108.333344, 349.416656
1373386856.68504, 250.666672, 341.333344, 230.166672, 348.833344, 279.166687, 335.833344, 138.666672, 345.333344, 156.166672, 350.833344, 108.166672, 344.833344
1373386856.71902, 250.500000, 341.750000, 230.000000, 348.250000, 275.000000, 335.250000, 138.500000, 345.750000, 156.000000, 351.250000, 108.000000, 349.250000
1373386856.75460, 250.666672, 341.333344, 230.166672, 347.833344, 275.166687, 334.833344, 138.666672, 345.333344, 156.166672, 350.833344, 108.166672, 348.833344
1373386856.79832, 251.666672, 341.333344, 230.166672, 347.833344, 274.166687, 333.833344, 138.666672, 345.333344, 156.166672, 350.833344, 108.166672, 347.833344
1373386856.83201, 251.833344, 341.916656, 230.333344, 349.416656, 279.333344, 336.416656, 139.833344, 345.916656, 156.333344, 351.416656, 108.333344, 349.416656
1373386856.86691, 251.000000, 341.500000, 231.000000, 347.000000, 275.000000, 335.000000, 139.000000, 345.500000, 156.000000, 351.000000, 108.000000, 349.000000
1373386856.91147, 252.083344, 341.541656, 230.083344, 349.041656, 275.083344, 334.041656, 139.083344, 345.541656, 156.083344, 351.041656, 107.083344, 349.041656
1373386856.94850, 252.833344, 340.916656, 231.333344, 348.416656, 274.333344, 334.416656, 139.833344, 345.916656, 156.333344, 351.416656, 108.333344, 349.416656
1373386856.98178, 252.666672, 340.333344, 231.166672, 346.833344, 275.166687, 333.833344, 140.666672, 345.333344, 157.166672, 350.833344, 108.166672, 347.833344
1373386857.01667, 253.250000, 340.125000, 231.250000, 347.125000, 275.250000, 334.125000, 140.250000, 345.125000, 156.250000, 350.125000, 109.250000, 348.125000
1373386857.05778, 253.583344, 340.291656, 263.083344, 341.291656, 275.083344, 334.291656, 140.583344, 345.291656, 157.083344, 351.291656, 108.083344, 348.291656
1373386857.09102, 253.833344, 340.916656, 241.333344, 336.416656, 275.333344, 334.416656, 140.833344, 345.916656, 157.333344, 350.416656, 108.333344, 348.416656
1373386857.12619, 253.000000, 340.500000, 232.000000, 347.000000, 276.000000, 334.000000, 141.000000, 345.500000, 157.000000, 350.000000, 109.000000, 348.000000
