Seconds.milliseconds since 1970,leftIrisX,leftIrisY,leftEyeHeadX,leftEyeHeadY,leftEyeBottomX,leftEyeBottomY,rightIrisX,rightIrisY,rightEyeHeadX,rightEyeHeadY,rightEyeBottomX,rightEyeBottomY
1373387588.04191, 236.333344, 393.666656, 217.333344, 401.166656, 266.333344, 388.166656, 122.333336, 399.666656, 140.333344, 405.166656, 96.333336, 397.166656
1373387588.07682, 236.333344, 393.666656, 216.333344, 401.166656, 265.333344, 388.166656, 121.333336, 399.666656, 140.333344, 404.166656, 103.333336, 403.166656
1373387588.10758, 236.333344, 393.666656, 216.333344, 401.166656, 265.333344, 388.166656, 122.333336, 399.666656, 140.333344, 405.166656, 91.333336, 404.166656
1373387588.14213, 236.333344, 393.666656, 216.333344, 402.166656, 266.333344, 388.166656, 121.333336, 399.666656, 140.333344, 405.166656, 103.333336, 403.166656
1373387588.17500, 236.583344, 393.291656, 216.083344, 402.291656, 266.083344, 388.291656, 122.583336, 400.291656, 140.083344, 405.291656, 92.083336, 404.291656
1373387588.20959, 237.333344, 393.666656, 217.333344, 402.166656, 261.333344, 386.166656, 122.333336, 399.666656, 141.333344, 405.166656, 92.333336, 404.166656
1373387588.24605, 237.166672, 393.083344, 217.166672, 401.583344, 266.166687, 387.583344, 123.166672, 400.083344, 141.166672, 404.583344, 100.166672, 393.583344
1373387588.27886, 237.333344, 393.666656, 217.333344, 401.166656, 256.333344, 385.166656, 122.333336, 399.666656, 141.333344, 405.166656, 92.333336, 404.166656
1373387588.31308, 237.333344, 393.666656, 217.333344, 402.166656, 260.333344, 386.166656, 123.333336, 400.666656, 141.333344, 405.166656, 103.333336, 403.166656
1373387588.35416, 238.166672, 393.083344, 217.166672, 401.583344, 260.166687, 385.583344, 123.166672, 400.083344, 141.166672, 404.583344, 103.166672, 402.583344
1373387588.39067, 238.583344, 393.291656, 217.083344, 402.291656, 267.083344, 388.291656, 123.583336, 400.291656, 142.083344, 405.291656, 104.083336, 403.291656
1373387588.42355, 238.833344, 393.916656, 217.333344, 402.416656, 260.333344, 386.416656, 124.833336, 400.916656, 142.333344, 405.416656, 95.333336, 406.416656
1373387588.45796, 238.583344, 393.291656, 218.083344, 401.291656, 267.083344, 388.291656, 124.583336, 399.291656, 142.083344, 405.291656, 93.083336, 404.291656
1373387588.50192, 238.000000, 393.500000, 218.000000, 401.000000, 262.000000, 386.000000, 123.000000, 399.500000, 142.000000, 405.000000, 93.000000, 404.000000
1373387588.53824, 237.833344, 393.916656, 218.333344, 401.416656, 262.333344, 386.416656, 124.833336, 400.916656, 142.333344, 405.416656, 93.333336, 404.416656
1373387588.57151, 237.166672, 393.083344, 218.166672, 398.583344, 261.166687, 385.583344, 123.166672, 399.083344, 142.166672, 404.583344, 92.166672, 403.583344
1373387588.60776, 238.583344, 393.291656, 217.083344, 402.291656, 262.083344, 386.291656, 123.583336, 399.291656, 142.083344, 405.291656, 92.083336, 404.291656
1373387588.64706, 237.583344, 393.291656, 217.083344, 402.291656, 260.083344, 386.291656, 123.583336, 399.291656, 142.083344, 405.291656, 93.083336, 404.291656
1373387588.68034, 237.000000, 393.500000, 217.000000, 401.000000, 260.000000, 386.000000, 123.000000, 400.500000, 141.000000, 405.000000, 110.000000, 399.000000
1373387588.71493, 237.000000, 393.500000, 216.000000, 402.000000, 259.000000, 386.000000, 123.000000, 400.500000, 141.000000, 405.000000, 96.000000, 398.000000
1373387588.75285, 237.000000, 393.500000, 216.000000, 402.000000, 260.000000, 386.000000, 122.000000, 400.500000, 140.000000, 405.000000, 92.000000, 404.000000
1373387588.78599, 237.166672, 393.083344, 217.166672, 401.583344, 252.166672, 384.583344, 122.166672, 400.083344, 141.166672, 404.583344, 92.166672, 403.583344
1373387588.82081, 237.000000, 393.500000, 216.000000, 402.000000, 252.000000, 385.000000, 122.000000, 400.500000, 141.000000, 405.000000, 92.000000, 404.000000
1373387588.85913, 237.833344, 393.916656, 216.333344, 402.416656, 259.333344, 386.416656, 122.833336, 400.916656, 141.333344, 405.416656, 91.333336, 405.416656
1373387588.89246, 236.000000, 393.500000, 216.000000, 402.000000, 261.000000, 387.000000, 122.000000, 400.500000, 140.000000, 405.000000, 91.000000, 405.000000
1373387588.92710, 236.333344, 393.666656, 216.333344, 401.166656, 251.333344, 385.166656, 121.333336, 400.666656, 140.333344, 405.166656, 102.333336, 403.166656
1373387588.96907, 236.333344, 393.666656, 215.333344, 402.166656, 259.333344, 387.166656, 121.333336, 400.666656, 139.333344, 405.166656, 91.333336, 404.166656
1373387589.00247, 235.166672, 394.083344, 215.166672, 401.583344, 264.166687, 388.583344, 121.166672, 400.083344, 140.166672, 405.583344, 103.166672, 403.583344
1373387589.03720, 236.166672, 393.083344, 215.166672, 402.583344, 266.166687, 388.583344, 120.166672, 400.083344, 139.166672, 404.583344, 96.166672, 396.583344
1373387589.08366, 235.000000, 394.500000, 215.000000, 403.000000, 259.000000, 387.000000, 121.000000, 400.500000, 140.000000, 406.000000, 91.000000, 404.000000
1373387589.11864, 235.000000, 394.500000, 215.000000, 403.000000, 259.000000, 387.000000, 120.000000, 400.500000, 139.000000, 406.000000, 89.000000, 401.000000
1373387589.15419, 235.166672, 394.083344, 215.166672, 401.583344, 264.166687, 388.583344, 121.166672, 401.083344, 139.166672, 405.583344, 90.166672, 404.583344
1373387589.20070, 235.833344, 394.916656, 215.333344, 403.416656, 252.333344, 386.416656, 121.833336, 401.916656, 139.333344, 406.416656, 91.333336, 405.416656
1373387589.23847, 235.000000, 394.500000, 216.000000, 401.000000, 259.000000, 387.000000, 121.000000, 401.500000, 140.000000, 406.000000, 91.000000, 405.000000
1373387589.27295, 235.000000, 394.500000, 216.000000, 401.000000, 258.000000, 387.000000, 121.000000, 401.500000, 140.000000, 406.000000, 91.000000, 405.000000
1373387589.30939, 235.833344, 394.916656, 215.333344, 402.416656, 259.333344, 387.416656, 121.833336, 400.916656, 140.333344, 406.416656, 102.333336, 404.416656
1373387589.35094, 235.666672, 394.333344, 215.166672, 401.833344, 258.166687, 386.833344, 121.666672, 400.333344, 139.166672, 404.833344, 90.166672, 404.833344
1373387589.38699, 235.000000, 394.500000, 215.000000, 402.000000, 264.000000, 389.000000, 121.000000, 400.500000, 139.000000, 405.000000, 90.000000, 405.000000
1373387589.42113, 235.583344, 394.291656, 215.083344, 402.291656, 264.083344, 389.291656, 121.583336, 400.291656, 139.083344, 405.291656, 89.083336, 401.291656
1373387589.45712, 235.000000, 394.500000, 215.000000, 402.000000, 252.000000, 386.000000, 121.000000, 400.500000, 139.000000, 405.000000, 91.000000, 404.000000
1373387589.49553, 235.000000, 394.500000, 215.000000, 402.000000, 259.000000, 387.000000, 121.000000, 400.500000, 139.000000, 406.000000, 102.000000, 404.000000
1373387589.52918, 235.000000, 394.500000, 215.000000, 402.000000, 259.000000, 387.000000, 121.000000, 400.500000, 139.000000, 405.000000, 91.000000, 404.000000
1373387589.56417, 235.000000, 394.500000, 215.000000, 402.000000, 265.000000, 389.000000, 121.000000, 400.500000, 139.000000, 405.000000, 90.000000, 405.000000
1373387589.60303, 236.833344, 393.916656, 215.333344, 402.416656, 259.333344, 387.416656, 122.833336, 400.916656, 139.333344, 405.416656, 90.333336, 405.416656
1373387589.63697, 236.583344, 393.291656, 215.083344, 402.291656, 259.083344, 387.291656, 122.583336, 400.291656, 139.083344, 405.291656, 90.083336, 405.291656
1373387589.67224, 237.166672, 393.083344, 215.166672, 401.583344, 261.166687, 389.583344, 122.166672, 400.083344, 140.166672, 404.583344, 90.166672, 404.583344
1373387589.71448, 236.000000, 393.500000, 215.000000, 402.000000, 258.000000, 386.000000, 122.000000, 400.500000, 139.000000, 405.000000, 90.000000, 405.000000
1373387589.74781, 237.000000, 393.500000, 215.000000, 402.000000, 259.000000, 386.000000, 122.000000, 400.500000, 139.000000, 405.000000, 90.000000, 405.000000
1373387589.78356, 237.000000, 393.500000, 215.000000, 402.000000, 259.000000, 387.000000, 122.000000, 400.500000, 140.000000, 405.000000, 91.000000, 404.000000
