Seconds.milliseconds since 1970,leftIrisX,leftIrisY,leftEyeHeadX,leftEyeHeadY,leftEyeBottomX,leftEyeBottomY,rightIrisX,rightIrisY,rightEyeHeadX,rightEyeHeadY,rightEyeBottomX,rightEyeBottomY
1373361969.57813, 262.000000, 405.500000, 242.000000, 417.000000, 280.000000, 396.000000, 144.000000, 414.500000, 164.000000, 419.000000, 154.000000, 409.000000
1373361969.61459, 262.166656, 405.083344, 243.166656, 413.583344, 280.166656, 396.583344, 144.166672, 414.083344, 164.166672, 418.583344, 154.166672, 408.583344
1373361969.64618, 262.166656, 405.083344, 242.166656, 413.583344, 280.166656, 395.583344, 143.166672, 414.083344, 164.166672, 418.583344, 133.166672, 417.583344
1373361969.68666, 262.000000, 405.500000, 242.000000, 417.000000, 282.000000, 397.000000, 143.000000, 414.500000, 164.000000, 419.000000, 153.000000, 409.000000
1373361969.72360, 262.583344, 405.291656, 242.083344, 415.291656, 280.083344, 397.291656, 143.583344, 414.291656, 163.083344, 419.291656, 155.083344, 410.291656
1373361969.75829, 261.166656, 405.083344, 241.166656, 416.583344, 286.166656, 396.583344, 143.166672, 414.083344, 163.166672, 418.583344, 115.166672, 412.583344
1373361969.79358, 261.333344, 405.666656, 241.333344, 418.166656, 285.333344, 397.166656, 143.333344, 414.666656, 163.333344, 419.166656, 132.333344, 418.166656
1373361969.83502, 261.166656, 405.083344, 241.166656, 416.583344, 286.166656, 396.583344, 143.166672, 414.083344, 163.166672, 418.583344, 134.166672, 422.583344
1373361969.87207, 261.333344, 405.666656, 241.333344, 416.166656, 279.333344, 396.166656, 143.333344, 414.666656, 163.333344, 419.166656, 131.333344, 407.166656
1373361969.90560, 261.000000, 405.500000, 242.000000, 415.000000, 279.000000, 396.000000, 143.000000, 414.500000, 163.000000, 418.000000, 134.000000, 422.000000
1373361969.94159, 261.166656, 405.083344, 241.166656, 416.583344, 281.166656, 395.583344, 143.166672, 414.083344, 163.166672, 418.583344, 115.166672, 412.583344
1373361969.98180, 261.166656, 405.083344, 241.166656, 417.583344, 285.166656, 396.583344, 143.166672, 414.083344, 163.166672, 418.583344, 153.166672, 408.583344
